"","budget","at","bb","extinct","","","","","","","","","","","","","","","","","","","","","","",""
"132",1000,0.1,0,0,32,1000,1000,11828,81215,91336,62707,71559,67674,69670,68290,69454,68689,68582,68540,67998,68810,67943,69609,68334,69410,68466,67903
"133",1000,0.1,0,0,33,1000,1000,11837,80750,90927,62037,71776,67512,69698,68382,68043,69582,68282,68042,69624,68300,69477,69080,68535,69374,68256,68720
"134",1000,0.1,0,0,34,1000,1000,11850,81015,91281,62056,70978,67326,69604,68379,68003,69592,68231,68096,69580,68434,68053,68144,68872,69367,68315,68684
"135",1000,0.1,0,0,35,1000,1000,11847,81539,90901,62279,71715,67600,69772,68594,68757,67875,68933,68490,68673,69289,68431,68744,68595,69302,68346,69568
"136",1000,0.1,0,0,36,1000,1000,11845,81266,90393,62035,71851,66939,70012,68123,68108,68832,68027,68729,68765,69438,68346,69473,68265,68731,69328,68456
"137",1000,0.1,0,0,37,1000,1000,11843,80954,91672,61504,72010,68215,69435,68980,68456,68663,69387,68346,68686,67931,68843,69326,68463,69346,69104,68504
"138",1000,0.1,0,0,38,1000,1000,11843,80959,91204,62137,71726,67618,69651,68368,68030,69681,68287,68346,69236,68343,68730,68610,69456,68481,69386,68988
"139",1000,0.1,0,0,39,1000,1000,11849,81123,91994,61944,71863,67522,68262,69499,68253,68128,69564,68440,68813,68443,68821,68698,69292,68347,68698,68607
"140",1000,0.1,0,0,40,1000,1000,11841,81187,91167,62087,71833,68307,68727,68589,69321,68409,68094,69676,68324,68695,68514,68742,69311,68481,68027,68901
"141",1000,0.1,0,0,41,1000,1000,11821,81046,91031,61671,71987,68209,69461,69077,69110,68482,69436,68419,68052,68192,69611,69010,68537,68642,68008,69488
"142",1000,0.1,0,0,42,1000,1000,11820,80402,90563,62293,70924,67775,68895,67975,69591,68240,68133,69070,67688,69064,67944,69567,68379,69361,68274,68810
"143",1000,0.1,0,0,43,1000,1000,11823,80011,91628,61597,71863,68220,69473,68372,68168,69367,68392,68031,69614,69042,68725,68599,68703,69396,68312,69506
"144",1000,0.1,0,0,44,1000,1000,11866,81507,90919,62212,71622,67750,68495,69462,68145,68189,69566,68331,68039,69559,68328,68145,68772,68607,68732,68163
"145",1000,0.1,0,0,45,1000,1000,11830,80671,90822,62175,70846,68557,68643,68018,69551,68250,68098,69622,68223,68088,69632,68425,68689,69325,68282,68127
"146",1000,0.1,0,0,46,1000,1000,11842,80853,91737,62058,71719,68239,69516,68096,69421,68997,68561,68654,68600,69442,68327,68576,69234,69127,68429,69547
"147",1000,0.1,0,0,47,1000,1000,11831,80911,91062,62134,71758,67000,69823,68305,69378,69087,68502,69356,68450,68012,68798,69387,68429,68875,69239,68463
"148",1000,0.1,0,0,48,1000,1000,11830,80576,91427,62025,71900,68287,68083,69510,68273,68070,69468,68416,68777,69335,68451,67940,69521,68374,68770,68635
"149",1000,0.1,0,0,49,1000,1000,11832,81264,90766,62302,71646,67693,69694,68988,67868,69689,68921,68565,68059,69577,68262,68028,68870,68533,69313,68495
"150",1000,0.1,0,0,50,1000,1000,11858,80794,91851,62408,71659,68345,68668,68659,68770,67960,69485,68326,68136,68145,68769,68657,68641,68572,69411,68361
"151",1000,0.1,0,0,51,1000,1000,11875,81144,91562,61619,71842,68352,68717,67895,69472,68327,68722,68617,68147,69463,68386,68023,68749,67968,68944,68535
"152",1000,0.1,0,0,52,1000,1000,11818,80663,90598,62199,71744,67002,70022,68145,69549,68244,69590,69046,68516,68126,69549,68325,69414,69035,67876,69668
"153",1000,0.1,0,0,53,1000,1000,11837,80874,92180,62371,71645,68232,68841,68629,67959,69425,68464,67997,69151,68139,69564,68365,68213,69381,68348,68757
"154",1000,0.1,0,0,54,1000,1000,11842,80828,89236,62569,71671,68281,69592,69034,69292,68461,68089,69460,68406,67999,69466,68454,68785,68522,68683,68651
"155",1000,0.1,0,0,55,1000,1000,11824,80761,91436,62142,71812,67631,69674,68310,68060,69526,68325,68061,69553,68207,68698,68690,69177,69119,68403,68602
"156",1000,0.1,0,0,56,1000,1000,11853,80899,91609,62507,69985,68133,69494,68670,68685,68000,69551,68413,68847,69260,68431,68007,68907,68537,68713,68543
"157",1000,0.1,0,0,57,1000,1000,11787,80755,89315,62441,71583,67694,69041,68520,68756,67937,69512,68359,68711,68627,68570,68622,67937,69447,68463,68707
"158",1000,0.1,0,0,58,1000,1000,11856,81196,92586,62016,71723,68162,69559,68280,69530,68354,69415,68326,68891,69427,68411,68823,69237,68456,67996,69603
"159",1000,0.1,0,0,59,1000,1000,11814,80667,92878,61688,71881,68106,69549,67562,69788,68228,68001,69488,68468,68647,68689,69446,68390,69467,68303,69435
"160",1000,0.1,0,0,60,1000,1000,11839,80539,89927,62378,71638,68257,68131,69528,68415,68157,69457,68454,68096,69438,68361,68833,67964,68913,69110,68303
"161",1000,0.1,0,0,61,1000,1000,11875,81004,91807,61853,71706,68344,69463,67777,69707,68209,68163,68666,68666,69351,68392,69492,68382,69439,68549,68693
"162",1000,0.1,0,0,62,1000,1000,11818,80849,91412,62024,71801,67397,69075,67917,69616,68261,68182,68153,68753,69351,68392,68064,69585,68322,68193,69579
"163",1000,0.1,0,0,63,1000,1000,11847,81026,90887,62252,71787,67612,69159,69103,69190,68276,68067,69581,68294,68126,69435,68311,68757,69210,68542,69480
"164",1000,0.1,0,0,64,1000,1000,11825,80894,91472,61919,71079,68514,67991,69628,68256,68221,69445,68430,68835,68566,69487,68390,68909,67831,69064,67896
"165",1000,0.1,0,0,65,1000,1000,11848,81050,91068,62132,71775,67662,69671,68981,67847,69651,68209,68165,69587,68343,67983,69632,69043,68432,69391,69080
"166",1000,0.1,0,0,66,1000,1000,11842,80748,89766,62363,71652,68296,68116,69707,68301,68075,69558,68421,67992,69659,68286,68608,68708,68866,69122,69117
"167",1000,0.1,0,0,67,1000,1000,11863,80684,90688,62268,71688,67690,68961,68573,69451,68406,68097,69638,68357,68018,69543,68187,68114,68785,69306,68392
