"","budget","at","bb","extinct","","","","","","","","","","","","","","","","","","","","","","",""
"182",1000,0.1,0,0,82,1000,1000,18,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"183",1000,0.1,0,0,83,1000,1000,17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"184",1000,0.1,0,0,84,1000,1000,14,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"185",1000,0.1,0,0,85,1000,1000,12,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"186",1000,0.1,0,0,86,1000,1000,17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"187",1000,0.1,0,0,87,1000,1000,21,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"188",1000,0.1,0,0,88,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"189",1000,0.1,0,0,89,1000,1000,17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"190",1000,0.1,0,0,90,1000,1000,14,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"191",1000,0.1,0,0,91,1000,1000,17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"192",1000,0.1,0,0,92,1000,1000,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"193",1000,0.1,0,0,93,1000,1000,14,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"194",1000,0.1,0,0,94,1000,1000,17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"195",1000,0.1,0,0,95,1000,1000,14,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"196",1000,0.1,0,0,96,1000,1000,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"197",1000,0.1,0,0,97,1000,1000,14,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"198",1000,0.1,0,0,98,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"199",1000,0.1,0,0,99,1000,1000,14,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"200",1000,0.1,0,0,100,1000,1000,18,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"201",1000,0.1,0.1,0,1,1000,1000,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"202",1000,0.1,0.1,0,2,1000,1000,14,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"203",1000,0.1,0.1,0,3,1000,1000,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"204",1000,0.1,0.1,0,4,1000,1000,17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"205",1000,0.1,0.1,0,5,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"206",1000,0.1,0.1,0,6,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"207",1000,0.1,0.1,0,7,1000,1000,14,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"208",1000,0.1,0.1,0,8,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"209",1000,0.1,0.1,0,9,1000,1000,19,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"210",1000,0.1,0.1,0,10,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"211",1000,0.1,0.1,0,11,1000,1000,17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"212",1000,0.1,0.1,0,12,1000,1000,17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"213",1000,0.1,0.1,0,13,1000,1000,18,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"214",1000,0.1,0.1,0,14,1000,1000,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"215",1000,0.1,0.1,0,15,1000,1000,18,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"216",1000,0.1,0.1,0,16,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"217",1000,0.1,0.1,0,17,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"218",1000,0.1,0.1,0,18,1000,1000,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"219",1000,0.1,0.1,0,19,1000,1000,14,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"220",1000,0.1,0.1,0,20,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"221",1000,0.1,0.1,0,21,1000,1000,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"222",1000,0.1,0.1,0,22,1000,1000,12,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"223",1000,0.1,0.1,0,23,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
