"","rep","budget","at","bb","extinct","act_dev","abs_act_dev","fin_yield","max_diff_yield","inac_ts"
"184",84,100,0.4,0,0,-0.223,0.223,9663.9375,0.13790785775388,2
"185",85,100,0.4,0,0,-0.118,0.118,9621.71875,0.0949549323985979,10
"186",86,100,0.4,0,0,0.00499999999999989,0.00499999999999989,9569.5,0.145253583905554,12
"187",87,100,0.4,0,0,-0.698,0.698,9867.6875,0.0872089470146061,5
"188",88,100,0.4,0,0,1.401,1.401,9016.890625,0.141046687241447,12
"189",89,100,0.4,0,0,-0.52,0.52,9792.984375,0.112740989103101,4
"190",90,100,0.4,0,0,1.092,1.092,9120.859375,0.184342799698417,9
"191",91,100,0.4,0,0,1.09,1.09,9133.390625,0.135720273407274,6
"192",92,100,0.4,0,0,0.293,0.293,9452.84375,0.152834581262191,11
"193",93,100,0.4,0,0,-0.53,0.53,9798.3125,0.0621691493290656,9
"194",94,100,0.4,0,0,0.753,0.753,9262.8203125,0.13265306122449,8
"195",95,100,0.4,0,0,1.115,1.115,9128.46875,0.158079117063492,5
"196",96,100,0.4,0,0,0.998,0.998,9177.9375,0.160042437294147,6
"197",97,100,0.4,0,0,-0.406,0.406,9749.78125,0.0958277006267666,11
"198",98,100,0.4,0,0,-0.038,0.038,9589.28125,0.108282627592202,6
"199",99,100,0.4,0,0,1.269,1.269,9056.171875,0.153167905277743,5
"200",100,100,0.4,0,0,1.448,1.448,8992.421875,0.183465004320454,11
"201",1,100,0.4,0.5,0,0.518,0.518,9370.765625,0.167426175720015,6
"202",2,100,0.4,0.5,0,-0.172,0.172,9648.03125,0.109153206069506,4
"203",3,100,0.4,0.5,0,0.814,0.814,9229.015625,0.13648298191073,8
"204",4,100,0.4,0.5,0,-0.315,0.315,9701.9375,0.14016140517446,4
"205",5,100,0.4,0.5,0,0.185,0.185,9498,0.161989332040247,5
"206",6,100,0.4,0.5,0,-0.335,0.335,9718.8125,0.0919454770755886,8
"207",7,100,0.4,0.5,0,-0.2,0.2,9660.796875,0.129344222031192,7
"208",8,100,0.4,0.5,0,0.152,0.152,9507.40625,0.13105935760704,8
"209",9,100,0.4,0.5,0,-0.653,0.653,9848.75,0.146096167579148,10
"210",10,100,0.4,0.5,0,0.189,0.189,9491.46875,0.100037443834249,11
"211",11,100,0.4,0.5,0,1.161,1.161,9110.07421875,0.13239914540656,10
"212",12,100,0.4,0.5,0,-0.201,0.201,9654.3125,0.100903982408991,6
"213",13,100,0.4,0.5,0,-0.814,0.814,9920,0.112574139976275,6
"214",14,100,0.4,0.5,0,-0.38,0.38,9734.6875,0.116243961352657,8
"215",15,100,0.4,0.5,0,-0.409,0.409,9748.125,0.0670298726738492,4
"216",16,100,0.4,0.5,0,1.121,1.121,9124.0625,0.125210737906886,9
"217",17,100,0.4,0.5,0,1.415,1.415,9012.796875,0.21220789441821,7
"218",18,100,0.4,0.5,0,-0.392,0.392,9737.25,0.0830776782427292,10
"219",19,100,0.4,0.5,0,-0.363,0.363,9728.375,0.113320439985495,6
"220",20,100,0.4,0.5,0,0.419,0.419,9395.359375,0.161662140476484,9
"221",21,100,0.4,0.5,0,0.729,0.729,9276.5625,0.0868439785154986,12
"222",22,100,0.4,0.5,0,1.316,1.316,9038.4375,0.146371816963431,14
"223",23,100,0.4,0.5,0,0.0509999999999999,0.0509999999999999,9558.4375,0.0949838589520735,5
"224",24,100,0.4,0.5,0,1.247,1.247,9068.65625,0.203902714932127,6
"225",25,100,0.4,0.5,0,0.825,0.825,9249.984375,0.143377772240219,10
"226",26,100,0.4,0.5,0,1.552,1.552,8950.8125,0.150767920882863,9
"227",27,100,0.4,0.5,0,-0.07,0.07,9600.4375,0.113308913308913,8
"228",28,100,0.4,0.5,0,-0.242,0.242,9674.5625,0.15383272219312,6
"229",29,100,0.4,0.5,0,-0.083,0.083,9606.65625,0.0515987679801861,9
"230",30,100,0.4,0.5,0,0.89,0.89,9216.1875,0.10823111684958,9
"231",31,100,0.4,0.5,0,0.758,0.758,9262.015625,0.164269528545352,11
"232",32,100,0.4,0.5,0,1.097,1.097,9136.484375,0.140218195861359,14
"233",33,100,0.4,0.5,0,-0.889,0.889,9950.625,0.103634232121923,0
"234",34,100,0.4,0.5,0,-0.082,0.082,9613.46875,0.131025920542636,7
"235",35,100,0.4,0.5,0,0.671,0.671,9309.703125,0.188926091269841,4
"236",36,100,0.4,0.5,0,-0.053,0.053,9594.5625,0.122118111207003,7
"237",37,100,0.4,0.5,0,-0.171,0.171,9643.75,0.0538601358461686,11
"238",38,100,0.4,0.5,0,0.36,0.36,9435.640625,0.139816158684083,6
"239",39,100,0.4,0.5,0,0.142,0.142,9507.0625,0.0747375119312759,12
"240",40,100,0.4,0.5,0,0.71,0.71,9277.109375,0.0779767838194154,6
"241",41,100,0.4,0.5,0,0.01,0.01,9568.140625,0.111582009258101,13
"242",42,100,0.4,0.5,0,0.974,0.974,9179.890625,0.142680921052632,6
"243",43,100,0.4,0.5,0,1.467,1.467,8969.96875,0.134504252970586,4
"244",44,100,0.4,0.5,0,-0.457,0.457,9767.375,0.0885701975749369,11
"245",45,100,0.4,0.5,0,-0.293,0.293,9698.8125,0.0554932036413518,10
"246",46,100,0.4,0.5,0,-0.272,0.272,9683.09375,0.103797935103245,13
