"","rep","scar","at","bb","extinct","act_dev","fin_yield","max_diff_yield","inac_ts","abs_act_dev"
"288",88,0,0.1,0.1,0,-0.383,9730.78125,0.1,4,0.383
"289",89,0,0.1,0.1,0,0.00600000000000001,9568.1875,0.1,7,0.00600000000000001
"290",90,0,0.1,0.1,1,-0.98,9991,0.1,4,0.98
"291",91,0,0.1,0.1,0,-0.033,9580.375,0.1,6,0.033
"292",92,0,0.1,0.1,0,-0.189,9646.6875,0.1,2,0.189
"293",93,0,0.1,0.1,0,-0.376,9727.53125,0.1,5,0.376
"294",94,0,0.1,0.1,0,0.12,9521.53125,0.1,4,0.12
"295",95,0,0.1,0.1,0,0.102,9523.734375,0.1,5,0.102
"296",96,0,0.1,0.1,0,-0.133,9628.5,0.1,4,0.133
"297",97,0,0.1,0.1,0,0.471,9373.4375,0.1,3,0.471
"298",98,0,0.1,0.1,0,0.314,9438.5625,0.1,8,0.314
"299",99,0,0.1,0.1,0,0.16,9498.5625,0.1,7,0.16
"300",100,0,0.1,0.1,0,1.079,9126.609375,0.1,4,1.079
"301",1,0,0.1,0.2,0,0.164,9509.21875,0.1,5,0.164
"302",2,0,0.1,0.2,0,0.109,9526.6875,0.1,6,0.109
"303",3,0,0.1,0.2,0,0.123,9522.84375,0.1,4,0.123
"304",4,0,0.1,0.2,0,0.0760000000000001,9535.265625,0.1,6,0.0760000000000001
"305",5,0,0.1,0.2,0,-0.0610000000000001,9602.1875,0.1,3,0.0610000000000001
"306",6,0,0.1,0.2,0,-0.014,9580.5625,0.1,5,0.014
"307",7,0,0.1,0.2,0,-0.483,9770.375,0.1,7,0.483
"308",8,0,0.1,0.2,0,0.195,9484.78125,0.1,6,0.195
"309",9,0,0.1,0.2,0,-0.21,9659.8125,0.1,6,0.21
"310",10,0,0.1,0.2,0,0.64,9306.75,0.1,4,0.64
"311",11,0,0.1,0.2,0,1.077,9149.46875,0.2,4,1.077
"312",12,0,0.1,0.2,0,-0.023,9582.8125,0.1,5,0.023
"313",13,0,0.1,0.2,0,0.038,9550.40625,0.1,6,0.038
"314",14,0,0.1,0.2,0,0.573,9329.8125,0.1,7,0.573
"315",15,0,0.1,0.2,0,-0.002,9566.59375,0,5,0.002
"316",16,0,0.1,0.2,0,-0.148,9635.15625,0.1,10,0.148
"317",17,0,0.1,0.2,1,-0.965,9985.375,0.1,1,0.965
"318",18,0,0.1,0.2,0,0.0309999999999999,9557.96875,0.1,4,0.0309999999999999
"319",19,0,0.1,0.2,0,-0.019,9579.609375,0.1,8,0.019
"320",20,0,0.1,0.2,0,0.283,9461.625,0.1,4,0.283
"321",21,0,0.1,0.2,0,0.206,9485.546875,0.1,7,0.206
"322",22,0,0.1,0.2,0,-0.374,9727.015625,0.1,4,0.374
"323",23,0,0.1,0.2,0,-0.005,9573.53125,0.1,8,0.005
"324",24,0,0.1,0.2,0,1.326,9031.21484375,0.2,2,1.326
"325",25,0,0.1,0.2,0,1.279,9044.6875,0.1,5,1.279
"326",26,0,0.1,0.2,0,1.234,9070.173828125,0.1,5,1.234
"327",27,0,0.1,0.2,0,-0.497,9774.1875,0.1,4,0.497
"328",28,0,0.1,0.2,0,-0.136,9623.5,0.1,6,0.136
"329",29,0,0.1,0.2,0,0.188,9500.953125,0.1,6,0.188
"330",30,0,0.1,0.2,0,-0.094,9607.90625,0.1,10,0.094
"331",31,0,0.1,0.2,0,0.302,9460.578125,0.1,2,0.302
"332",32,0,0.1,0.2,0,0.693,9280.21875,0.1,5,0.693
"333",33,0,0.1,0.2,0,-0.999,9999.5,0.1,10,0.999
"334",34,0,0.1,0.2,1,-0.969,9986,0.1,3,0.969
"335",35,0,0.1,0.2,1,-0.974,9990.3125,0.1,6,0.974
"336",36,0,0.1,0.2,0,-0.453,9762.875,0.1,3,0.453
"337",37,0,0.1,0.2,0,-0.75,9892.25,0.1,3,0.75
"338",38,0,0.1,0.2,0,0.119,9530.359375,0.1,5,0.119
"339",39,0,0.1,0.2,0,-0.703,9871.5,0.1,1,0.703
"340",40,0,0.1,0.2,0,-0.392,9734.9375,0.1,4,0.392
"341",41,0,0.1,0.2,0,0.284,9450.640625,0.1,7,0.284
"342",42,0,0.1,0.2,0,-0.249,9668.8125,0.1,1,0.249
"343",43,0,0.1,0.2,0,-0.38,9729.28125,0.1,1,0.38
"344",44,0,0.1,0.2,0,1.394,9011.9375,0.1,2,1.394
"345",45,0,0.1,0.2,0,0.393,9407.75,0.1,5,0.393
"346",46,0,0.1,0.2,0,-0.176,9645.40625,0.1,3,0.176
"347",47,0,0.1,0.2,0,1.285,9042.4375,0.1,4,1.285
"348",48,0,0.1,0.2,0,-0.5,9783.78125,0.1,4,0.5
"349",49,0,0.1,0.2,0,1.058,9136.046875,0.1,1,1.058
"350",50,0,0.1,0.2,0,-0.098,9609.6875,0.1,5,0.098
"351",51,0,0.1,0.2,0,0.056,9545.9375,0.1,6,0.056
"352",52,0,0.1,0.2,0,-0.495,9784.46875,0.1,4,0.495
"353",53,0,0.1,0.2,0,-0.565,9809.875,0.1,2,0.565
"354",54,0,0.1,0.2,0,0.203,9490.34375,0.1,5,0.203
"355",55,0,0.1,0.2,0,0.184,9489.78125,0.1,6,0.184
"356",56,0,0.1,0.2,0,-0.085,9607.875,0.1,6,0.085
"357",57,0,0.1,0.2,0,-0.506,9785.1875,0.1,1,0.506
"358",58,0,0.1,0.2,0,-0.343,9718.9375,0.1,8,0.343
"359",59,0,0.1,0.2,0,-0.032,9580.5625,0.1,9,0.032
"360",60,0,0.1,0.2,0,-0.3,9693.4375,0.1,8,0.3
"361",61,0,0.1,0.2,0,-0.402,9739.59375,0.1,6,0.402
"362",62,0,0.1,0.2,0,0.396,9404.515625,0.1,7,0.396
"363",63,0,0.1,0.2,0,-0.244,9667.625,0.1,6,0.244
"364",64,0,0.1,0.2,0,-0.051,9589.6875,0.1,6,0.051
"365",65,0,0.1,0.2,1,-0.977,9989.25,0,4,0.977
"366",66,0,0.1,0.2,0,1.292,9048.03125,0.1,3,1.292
"367",67,0,0.1,0.2,0,0.249,9466.65625,0.1,4,0.249
"368",68,0,0.1,0.2,0,-0.641,9850,0.1,3,0.641
"369",69,0,0.1,0.2,0,0.0489999999999999,9545.65625,0.1,4,0.0489999999999999
"370",70,0,0.1,0.2,0,0.585,9326.3203125,0.1,1,0.585
"371",71,0,0.1,0.2,0,-0.143,9632.1875,0.1,4,0.143
"372",72,0,0.1,0.2,0,-0.7,9872.5625,0.1,7,0.7
"373",73,0,0.1,0.2,0,0.564,9343.375,0.1,6,0.564
"374",74,0,0.1,0.2,0,0.403,9402.828125,0.1,5,0.403
"375",75,0,0.1,0.2,0,-0.0639999999999999,9600.96875,0.1,3,0.0639999999999999
"376",76,0,0.1,0.2,0,0.038,9558.15625,0.1,6,0.038
"377",77,0,0.1,0.2,0,-0.039,9582.03125,0.1,3,0.039
