"","budget","at","bb","extinct","","","","","","","","","","","","","","","","","","","",""
"171",1000,0.2,0.5,0,44,110,110,110,110,110,110,110,110,110,45,28,110,110,160,43,43,43,43,43
"172",1000,0.2,0.5,0,63,110,110,160,110,110,109,110,110,110,110,110,110,210,110,109,110,110,109,110
"173",1000,0.2,0.5,0,62,110,110,110,110,110,110,110,109,110,110,109,110,110,160,160,159,110,110,110
"174",1000,0.2,0.5,0,53,110,110,110,160,110,110,110,110,159,110,110,110,209,110,110,110,40,33,33
"175",1000,0.2,0.5,0,67,110,110,110,210,110,110,110,29,29,29,29,254,110,110,110,159,159,160,160
"176",1000,0.2,0.5,0,52,110,110,159,109,109,160,160,159,159,160,39,39,39,39,39,308,308,29,40
"177",1000,0.2,0.5,0,57,110,36,110,109,110,110,110,110,110,110,110,110,110,110,40,40,45,45,36
"178",1000,0.2,0.5,0,63,110,110,110,110,110,110,110,110,110,110,110,27,29,44,39,39,17,17,160
"179",1000,0.2,0.5,0,62,110,110,110,160,160,160,160,160,160,14,44,44,44,209,110,36,36,36,210
"180",1000,0.2,0.5,0,45,110,110,110,110,110,110,110,109,110,110,110,110,110,110,110,110,110,110,109
"181",1000,0.2,0.6,1,46,110,110,110,45,45,45,227,23,23,170,110,110,110,110,110,109,0,0,0
"182",1000,0.2,0.6,0,63,63,170,110,110,110,110,110,110,110,350,350,13,110,110,110,110,110,110,110
"183",1000,0.2,0.6,1,58,110,110,110,170,170,19,19,170,110,110,110,109,0,0,0,0,0,0,0
"184",1000,0.2,0.6,1,54,110,110,170,170,170,170,170,170,170,97,12,12,170,110,110,110,109,0,0
"185",1000,0.2,0.6,0,42,110,110,110,110,110,110,110,110,110,110,110,110,110,110,40,40,31,110,110
"186",1000,0.2,0.6,0,55,110,109,110,110,170,170,38,110,110,110,27,27,170,110,109,110,109,110,110
"187",1000,0.2,0.6,0,57,110,110,110,110,170,170,170,170,10,109,109,170,110,110,110,110,110,110,350
"188",1000,0.2,0.6,0,67,67,67,230,110,110,110,230,230,230,230,10,109,110,110,110,29,110,109,110
"189",1000,0.2,0.6,0,51,110,110,110,109,110,109,109,109,230,230,34,34,170,110,110,110,230,230,230
"190",1000,0.2,0.6,0,63,110,110,109,109,109,40,110,110,110,110,110,230,230,27,19,19,170,110,110
"191",1000,0.2,0.7,0,58,110,109,110,109,110,110,29,110,110,110,110,110,110,64,35,23,23,180,110
"192",1000,0.2,0.7,1,41,110,110,110,22,110,110,110,110,110,110,110,110,110,110,0,0,0,0,0
"193",1000,0.2,0.7,0,57,110,110,110,109,110,110,45,110,110,110,110,110,110,110,110,110,110,110,110
"194",1000,0.2,0.7,0,56,110,110,109,110,110,110,110,110,110,110,109,110,109,110,110,110,110,109,110
"195",1000,0.2,0.7,0,66,110,110,109,110,110,110,110,110,27,27,180,110,110,110,110,110,110,110,110
"196",1000,0.2,0.7,0,61,110,110,110,109,110,110,110,110,110,110,46,110,110,110,19,19,180,110,110
"197",1000,0.2,0.7,0,61,110,110,180,180,180,180,22,110,110,20,20,180,110,109,110,109,110,110,110
"198",1000,0.2,0.7,0,58,58,180,110,110,109,110,110,110,110,110,110,320,320,179,179,17,17,180,110
"199",1000,0.2,0.7,0,61,110,110,110,250,250,180,180,180,26,26,26,26,320,320,180,180,180,180,180
"200",1000,0.2,0.7,0,62,62,180,180,180,250,250,22,40,33,33,179,110,110,180,110,110,180,180,180
"201",1000,0.2,0.8,0,56,110,110,110,109,110,40,110,110,110,190,109,109,109,109,28,110,14,110,110
"202",1000,0.2,0.8,1,36,110,109,110,110,110,110,109,110,110,190,109,109,18,18,190,110,109,0,0
"203",1000,0.2,0.8,0,63,110,110,110,110,110,109,110,110,110,190,110,110,110,190,26,110,109,109,109
"204",1000,0.2,0.8,0,44,110,110,110,110,110,270,270,30,30,30,30,347,110,110,110,110,110,110,110
"205",1000,0.2,0.8,0,57,57,190,110,110,110,190,190,30,110,110,110,36,36,190,190,190,190,43,20
"206",1000,0.2,0.8,0,70,110,110,110,190,190,190,190,190,44,30,30,190,190,18,18,190,110,110,109
"207",1000,0.2,0.8,0,58,110,110,110,110,270,270,270,28,28,28,269,110,109,110,110,109,109,109,109
"208",1000,0.2,0.8,0,60,110,110,190,110,109,110,109,110,110,190,110,110,109,109,189,110,110,109,110
"209",1000,0.2,0.8,0,51,110,110,109,110,110,40,110,110,110,110,110,40,17,17,190,110,110,110,109
"210",1000,0.2,0.8,0,44,110,110,110,109,110,110,110,267,267,267,267,19,40,25,25,190,110,110,109
"211",1000,0.2,0.9,0,72,110,110,110,110,36,36,36,287,287,287,287,29,10,110,110,110,110,109,110
"212",1000,0.2,0.9,0,60,110,110,110,110,24,110,109,110,110,110,110,110,110,110,110,110,110,109,110
"213",1000,0.2,0.9,0,55,110,110,110,109,110,110,110,110,110,109,109,109,290,290,290,28,110,110,110
"214",1000,0.2,0.9,0,47,110,110,110,199,199,199,199,45,36,36,11,110,110,110,110,110,110,110,110
"215",1000,0.2,0.9,0,61,110,110,110,109,110,110,200,200,23,110,110,27,30,110,109,109,199,199,41
"216",1000,0.2,0.9,0,75,110,110,110,110,110,110,45,45,200,110,110,110,110,199,199,199,16,31,110
"217",1000,0.2,0.9,0,54,110,109,110,110,200,37,29,110,110,110,110,110,110,110,110,110,200,110,110
"218",1000,0.2,0.9,0,52,110,110,110,110,110,110,110,199,199,23,110,110,110,110,110,110,110,199,110
"219",1000,0.2,0.9,0,48,110,110,110,110,110,110,110,110,200,200,45,45,45,45,370,110,45,33,110
"220",1000,0.2,0.9,0,66,66,200,110,110,110,110,110,110,84,84,31,31,45,45,45,45,372,110,110
"221",1000,0.2,1,0,50,110,110,210,109,109,207,207,207,26,26,210,110,110,110,310,310,32,23,23
"222",1000,0.2,1,0,61,61,210,110,109,110,109,110,110,209,209,26,40,33,33,33,310,110,110,110
"223",1000,0.2,1,0,73,110,110,110,110,110,210,110,110,210,210,210,210,44,44,24,24,30,110,110
"224",1000,0.2,1,0,63,110,110,110,110,210,210,210,38,38,209,209,34,34,34,310,310,310,10,110
"225",1000,0.2,1,0,59,110,110,110,109,110,109,109,207,207,14,110,110,110,110,40,40,210,109,109
"226",1000,0.2,1,1,23,110,110,110,110,110,110,110,109,0,0,0,0,0,0,0,0,0,0,0
"227",1000,0.2,1,0,54,110,109,110,110,110,110,110,110,110,110,110,110,58,58,58,310,32,32,32
"228",1000,0.2,1,0,57,110,109,110,110,110,308,32,32,210,110,110,110,110,110,310,110,110,19,19
"229",1000,0.2,1,1,66,110,109,110,110,210,210,210,16,16,210,110,110,110,110,0,0,0,0,0
"230",1000,0.2,1,0,50,110,110,110,110,110,110,41,110,110,110,110,40,40,40,31,15,110,109,110
"231",1000,0.3,0,0,67,110,110,110,110,110,110,110,110,110,110,15,110,110,110,110,19,19,110,109
"232",1000,0.3,0,0,55,110,109,110,110,110,109,110,110,110,110,110,110,110,110,110,109,110,110,110
"233",1000,0.3,0,0,56,56,110,110,109,110,110,110,110,110,110,110,22,22,110,110,110,21,21,110
"234",1000,0.3,0,0,51,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
"235",1000,0.3,0,1,58,58,58,109,110,110,110,110,110,109,110,110,109,110,109,110,109,110,0,0
