"","budget","at","bb","extinct","","","","","","","","","","","","","","","","","","","","","","",""
"129",1000,0.2,0,0,1500,1000,700,62,110,110,109,110,110,110,110,110,110,110,110,28,28,28,110,109,110,110,110
"130",1000,0.2,0,0,1500,1000,700,68,109,110,110,110,110,110,110,110,110,110,110,109,110,109,109,109,109,109,109
"131",1000,0.2,0.1,0,1500,1000,700,42,110,109,110,110,109,110,110,110,110,110,110,110,110,110,28,28,28,130,110
"132",1000,0.2,0.1,0,1500,1000,700,54,110,110,109,110,110,110,110,110,41,41,41,41,41,41,41,41,180,180,180
"133",1000,0.2,0.1,0,1500,1000,700,44,110,110,110,109,110,110,110,110,110,110,110,110,39,39,39,39,39,39,160
"134",1000,0.2,0.1,0,1500,1000,700,57,110,109,110,109,110,110,110,110,110,110,110,110,31,31,31,130,130,130,130
"135",1000,0.2,0.1,0,1500,1000,700,51,110,110,110,110,110,110,110,110,110,40,40,40,40,40,40,40,170,170,170
"136",1000,0.2,0.1,0,1500,1000,700,57,110,110,109,110,109,110,110,110,110,110,110,110,44,38,38,38,38,140,110
"137",1000,0.2,0.1,0,1500,1000,700,51,110,109,110,109,110,110,110,110,109,110,109,110,110,109,110,110,110,109,110
"138",1000,0.2,0.1,0,1500,1000,700,54,110,110,110,110,110,109,109,109,109,109,109,38,38,38,38,38,149,110,110
"139",1000,0.2,0.1,0,1500,1000,700,47,110,110,110,110,110,110,110,109,110,110,110,110,110,110,109,110,109,110,110
"140",1000,0.2,0.1,0,1500,1000,700,61,110,110,109,110,110,110,110,110,45,38,38,38,38,38,149,149,149,149,149
"141",1000,0.2,0.2,0,1500,1000,700,64,110,110,110,110,109,110,109,110,110,110,109,110,110,109,110,109,110,110,110
"142",1000,0.2,0.2,0,1500,1000,700,56,109,110,109,110,109,110,110,110,110,110,110,110,110,110,110,36,36,36,36
"143",1000,0.2,0.2,0,1500,1000,700,70,110,109,110,110,110,110,110,37,37,37,37,37,190,190,190,190,27,27,27
"144",1000,0.2,0.2,0,1500,1000,700,64,110,110,109,110,110,110,110,110,110,110,31,38,38,38,38,38,190,110,110
"145",1000,0.2,0.2,0,1500,1000,700,65,110,110,110,110,110,110,110,43,43,43,43,43,43,43,43,43,270,270,270
"146",1000,0.2,0.2,0,1500,1000,700,74,110,110,110,110,110,110,110,110,35,35,35,35,35,190,190,190,190,190,25
"147",1000,0.2,0.2,0,1500,1000,700,57,110,109,110,110,110,110,110,110,109,110,109,110,110,109,110,110,110,110,109
"148",1000,0.2,0.2,0,1500,1000,700,60,110,110,110,110,110,110,110,110,110,110,110,109,110,110,110,110,110,110,110
"149",1000,0.2,0.2,0,1500,1000,700,51,110,110,110,110,110,110,110,110,110,110,110,109,110,110,110,110,110,110,109
"150",1000,0.2,0.2,0,1500,1000,700,63,110,110,110,110,110,22,22,129,110,110,110,43,43,43,43,43,43,43,43
"151",1000,0.2,0.3,0,1500,1000,700,50,110,110,109,110,109,110,110,109,110,110,110,110,109,110,109,110,110,110,110
"152",1000,0.2,0.3,1,1500,1000,700,60,110,109,110,109,110,110,110,110,110,109,110,110,110,110,110,110,110,0,0
"153",1000,0.2,0.3,0,1500,1000,700,49,110,110,110,110,110,109,110,110,110,110,110,110,110,29,29,29,29,200,110
"154",1000,0.2,0.3,0,1500,1000,700,59,110,110,110,110,110,110,110,34,34,34,34,200,110,110,110,110,110,110,110
"155",1000,0.2,0.3,0,1500,1000,700,56,110,110,110,110,110,109,110,109,110,110,109,110,109,110,109,110,110,110,110
"156",1000,0.2,0.3,0,1500,1000,700,49,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,109,109,140,140
"157",1000,0.2,0.3,0,1500,1000,700,73,110,110,110,109,110,110,110,110,110,39,39,39,39,39,39,39,260,260,260
"158",1000,0.2,0.3,0,1500,1000,700,78,110,110,110,110,110,110,110,110,110,110,110,110,110,110,37,35,35,35,170
"159",1000,0.2,0.3,0,1500,1000,700,67,110,110,110,110,110,110,110,110,110,110,110,43,38,38,38,38,38,38,260
"160",1000,0.2,0.3,0,1500,1000,700,62,110,110,109,110,110,110,110,110,110,110,110,110,110,110,110,110,34,41,41
"161",1000,0.2,0.4,0,1500,1000,700,54,110,110,110,110,110,110,110,110,110,110,109,110,110,110,110,110,110,110,109
"162",1000,0.2,0.4,0,1500,1000,700,55,110,110,110,109,109,109,109,109,109,32,32,32,190,110,110,110,110,110,110
"163",1000,0.2,0.4,0,1500,1000,700,54,110,110,110,110,110,110,110,110,110,26,26,26,188,110,110,110,109,109,150
"164",1000,0.2,0.4,0,1500,1000,700,66,110,110,110,110,110,43,43,43,43,43,43,43,43,355,355,355,26,26,148
"165",1000,0.2,0.4,0,1500,1000,700,62,110,110,109,110,110,110,109,109,109,109,109,109,109,28,28,28,190,109,110
"166",1000,0.2,0.4,0,1500,1000,700,52,110,109,110,110,110,110,110,110,110,110,110,29,29,29,29,230,110,110,110
"167",1000,0.2,0.4,0,1500,1000,700,65,110,110,110,110,110,110,110,110,110,110,110,110,110,35,35,35,35,229,229
"168",1000,0.2,0.4,0,1500,1000,700,65,110,110,110,110,110,110,110,110,110,110,37,40,40,40,40,40,40,310,310
"169",1000,0.2,0.4,0,1500,1000,700,52,110,110,110,110,110,110,110,109,110,110,110,110,110,109,110,109,110,110,110
"170",1000,0.2,0.4,0,1500,1000,700,75,110,109,110,110,110,109,109,109,109,109,109,109,27,27,27,190,110,109,110
"171",1000,0.2,0.5,0,1500,1000,700,68,110,110,110,110,110,110,110,110,110,110,36,37,37,37,37,260,110,110,109
"172",1000,0.2,0.5,0,1500,1000,700,66,110,110,110,110,110,110,110,110,35,35,35,210,210,210,34,34,34,210,109
"173",1000,0.2,0.5,0,1500,1000,700,54,110,110,110,110,110,110,110,110,110,110,109,110,110,110,110,110,110,28,28
"174",1000,0.2,0.5,0,1500,1000,700,60,110,110,109,110,110,110,110,110,110,110,44,41,41,41,41,41,41,344,110
"175",1000,0.2,0.5,0,1500,1000,700,56,110,109,110,109,110,110,110,110,160,160,160,160,160,160,28,28,28,210,210
"176",1000,0.2,0.5,0,1500,1000,700,61,110,110,110,110,110,110,32,32,32,32,260,110,110,110,110,110,41,41,41
"177",1000,0.2,0.5,0,1500,1000,700,63,110,110,110,110,109,110,110,110,110,110,110,110,110,110,31,31,31,31,260
"178",1000,0.2,0.5,0,1500,1000,700,70,110,110,110,110,110,110,29,29,29,210,210,210,210,20,20,160,110,109,110
"179",1000,0.2,0.5,0,1500,1000,700,59,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,109,109
"180",1000,0.2,0.5,0,1500,1000,700,61,110,110,110,110,110,110,110,110,110,110,110,37,37,43,43,43,43,43,43
"181",1000,0.2,0.6,0,1500,1000,700,61,110,110,110,109,109,109,109,109,42,42,42,42,42,42,42,42,408,408,408
"182",1000,0.2,0.6,0,1500,1000,700,59,110,110,110,110,110,110,110,24,24,169,169,169,169,21,21,170,110,110,110
"183",1000,0.2,0.6,0,1500,1000,700,63,110,110,110,110,110,110,110,110,110,170,170,170,170,30,30,30,230,230,230
"184",1000,0.2,0.6,0,1500,1000,700,64,110,110,110,110,110,110,110,110,110,38,38,38,38,38,38,399,110,110,110
"185",1000,0.2,0.6,0,1500,1000,700,63,110,110,110,110,110,110,110,110,110,109,109,170,170,170,170,170,22,22,170
"186",1000,0.2,0.6,0,1500,1000,700,73,110,109,110,110,109,110,109,109,109,109,109,109,109,109,91,20,20,170,170
"187",1000,0.2,0.6,0,1500,1000,700,67,110,109,109,109,109,109,109,109,68,42,42,42,42,42,348,348,348,348,23
"188",1000,0.2,0.6,0,1500,1000,700,62,110,110,110,110,110,110,110,37,37,37,37,37,350,110,110,110,110,110,35
"189",1000,0.2,0.6,0,1500,1000,700,64,110,110,110,110,110,110,110,110,110,110,41,41,41,41,41,41,41,344,344
"190",1000,0.2,0.6,0,1500,1000,700,63,110,110,109,110,109,110,110,110,110,110,110,110,110,110,104,15,15,170,110
"191",1000,0.2,0.7,0,1500,1000,700,54,110,110,109,110,110,110,109,110,110,110,110,110,109,110,110,109,110,110,110
"192",1000,0.2,0.7,0,1500,1000,700,51,110,110,110,110,110,110,110,110,110,110,110,110,109,110,109,110,109,110,110
