"Fitness_calls","Mean_Fitness","LCI","UCI"
226,9618212.92071403,9204910.36839816,9844011.15692117
228,9617269.49000481,9160290.03121937,9847610.44398835
230,9611959.30617116,9200410.52519991,9845548.00404735
232,9617582.33874741,9211203.59423417,9843508.4967151
234,9616149.7703697,9188958.77115658,9844068.68576901
236,9614416.45524694,9076253.05176329,9841069.18455296
238,9614023.87474331,9072510.70571654,9842818.45781049
240,9614862.50456149,9201130.39797494,9840560.60376161
242,9614215.70807016,9200377.16488531,9848563.46818445
244,9614615.85987665,9204849.61693575,9840817.53189164
246,9614207.66230393,9209234.81143582,9843029.20671701
248,9614949.64375196,9185613.04580156,9845775.10372906
250,9616157.04379686,9198097.86678773,9841929.79699744
252,9613935.95054829,9204069.19687121,9841820.43273234
254,9615264.32984151,9211105.12914702,9844640.20623789
256,9616762.53117108,9210636.65178389,9844333.96277349
258,9613674.34718232,9208022.32807855,9845342.30194891
260,9618006.19470342,9192963.60794948,9847123.10797932
262,9616268.84904634,9202170.56580017,9844606.51464883
264,9617315.64762837,9216045.11302771,9840152.8551768
266,9616153.66127164,9209116.96834951,9843194.26925275
268,9616492.12296654,9212233.22770515,9842626.96695578
270,9613853.86061487,9148801.13290641,9842230.35479068
272,9613891.20846304,9181979.34714394,9841322.50932275
274,9617461.20502728,9209689.0050351,9840119.29304089
276,9617193.68117293,9207368.0584414,9845890.75108304
278,9614079.35773624,9184573.58231548,9846286.26525673
280,9616199.89619342,9207375.95448295,9846540.10496337
282,9615049.30615035,9150917.50238708,9840538.72194514
284,9613391.69508843,9189835.7471102,9840917.42948721
286,9615070.13751453,9203537.89240528,9849052.98929017
288,9615752.82701199,9212762.88174187,9844893.24865726
290,9613006.05695037,9219379.53756895,9843342.04916161
292,9616710.97597174,9203989.3881773,9844899.68198572
294,9616599.74774179,9194680.28773534,9845380.49244993
296,9614016.27360544,9206745.53761981,9847222.04572719
298,9614738.93238208,9190719.42408664,9844294.94459028
