"Fitness_calls","Mean_Fitness","LCI","UCI"
351,9794079.85812388,9740301.88527388,9845851.70817562
353,9793870.23005886,9735538.2283072,9841891.64839961
355,9794731.31704256,9737693.34708937,9846912.13743131
357,9793754.95687767,9736627.67868038,9847831.39103072
359,9793982.97559252,9738609.11923801,9845624.48143778
361,9794812.60441493,9737359.5357799,9847629.61040629
363,9792651.24636199,9735345.15174019,9845427.44338417
365,9793670.18072129,9738648.36991321,9848054.22050383
367,9793360.62359988,9733183.19838017,9844807.83823731
369,9793433.61939284,9735482.58885472,9845932.49595963
371,9793916.58914524,9737133.41065026,9845390.66651054
373,9794117.90185117,9736603.69772344,9846175.41217558
375,9792617.05292738,9730170.36823407,9849474.54777708
377,9793692.9037182,9734523.68658837,9848315.40993389
379,9793218.18206778,9731686.93199117,9844845.32579332
381,9793865.1849354,9734964.72069464,9847980.17868022
383,9793206.48625064,9732902.77116313,9843428.74952672
385,9794446.65705647,9734658.28198437,9847098.4412851
387,9793681.36633719,9736951.41830386,9844819.33393742
389,9794584.01199679,9731123.15466198,9848591.26019797
391,9794442.19845868,9737639.38225923,9848672.46570748
393,9794437.87487234,9735297.61622729,9849091.01107757
395,9793949.96178954,9732758.17190948,9847074.17763426
397,9794548.32668632,9736593.21780576,9850558.32795752
399,9793887.64869497,9733930.76732889,9845100.15296654
401,9794235.90967647,9733470.82120377,9849336.46968625
403,9794881.56616748,9734517.82289451,9847524.20271183
405,9794213.38816417,9735413.5920971,9843360.70321497
407,9794431.71660046,9735219.59708105,9847111.20732651
409,9794870.82973483,9733311.23348276,9849157.43870873
411,9793155.70209957,9737529.10056279,9844078.55992505
413,9794418.09157309,9731855.27921106,9849009.19272183
415,9793022.04209065,9733110.62374364,9848031.18817648
417,9794480.24835869,9738174.33094874,9849473.48123932
419,9793112.4840789,9730509.30983442,9842997.09040342
421,9793619.23040985,9736410.99148906,9846728.91199489
423,9794314.88416799,9736002.25263125,9848353.36678253
425,9794659.38178348,9735934.52091552,9847519.2554617
427,9794181.78701454,9731998.14119204,9851590.6308169
429,9792933.60604901,9732744.11712403,9843538.4065977
431,9793546.72208373,9738338.45025014,9847213.78759726
433,9793791.06858949,9734984.6483041,9851028.28416873
435,9794124.95901429,9735247.19259758,9848712.22829821
437,9794121.18927637,9742081.45001072,9842583.7137275
439,9792513.36266308,9733429.15934813,9847881.52021001
441,9794239.81942281,9730596.02726118,9844827.76541032
443,9794173.07200391,9733850.27715528,9848077.98126605
445,9793581.24620028,9736643.00292715,9846101.66102373
447,9793837.96234627,9736023.43799673,9846937.58224673
449,9793369.53441014,9734867.85749469,9845811.71447455
451,9792920.2622845,9733252.25032202,9846379.79497989
453,9792725.76190128,9738587.07095255,9844499.19016786
455,9792712.47744104,9732552.03206877,9844935.7466191
457,9793943.95004841,9738805.77823731,9845236.07345283
459,9793474.17685523,9733296.71852417,9842922.27585541
461,9793784.57031422,9727590.11680357,9846725.77236293
463,9793677.72352901,9731310.23344574,9845078.73354578
465,9793977.94849392,9737340.0951757,9847488.73423927
467,9794260.29143809,9733726.80359616,9845249.7628973
469,9793207.58938177,9736253.86772599,9849362.83972682
471,9793540.45656135,9733856.07369205,9849832.63959917
473,9793997.92084935,9734154.17652134,9847008.97373239
475,9793814.30339174,9735063.99847584,9850030.29242688
477,9794130.0277804,9732088.61483367,9850391.40143132
479,9794253.9983901,9732695.43140805,9848686.75220748
481,9794337.57232647,9734627.36224886,9845503.94619297
483,9792944.98587802,9733762.72324729,9842433.36936611
485,9792671.82253706,9733897.43231787,9846998.72757402
487,9792602.25026997,9730600.67921948,9845877.4057622
489,9793899.71946821,9738568.20550576,9847355.87121788
491,9794594.25713209,9735555.31891683,9847229.17092282
493,9793290.52456987,9735462.37129177,9848591.16237486
495,9793909.27007256,9735058.27655955,9848361.70881416
497,9794397.56293668,9735149.7368175,9846451.55111749
499,9791774.2583753,9729625.5790861,9847779.69569809
501,9792852.4972398,9732018.71243291,9844894.34312437
503,9792382.22757282,9729700.31299861,9843921.65721381
505,9794512.31817851,9734148.17622355,9847163.99853081
507,9792778.14727124,9731641.02806115,9840472.43147848
509,9793659.95664746,9739398.91357346,9846554.65079391
511,9794157.71966979,9734220.63555787,9846075.10107315
513,9793376.61331266,9731454.47338275,9846221.56722112
515,9793009.78925806,9735939.16004976,9847441.30914235
517,9794278.24974277,9734081.80342307,9850582.34813551
519,9794002.21497378,9734222.43237799,9848509.69623038
521,9792925.92016892,9730150.69119897,9847674.27411817
523,9793807.63749628,9737401.5581535,9845964.05061869
525,9794428.3692781,9738167.31329198,9843764.64123438
527,9792908.34484773,9735897.12456754,9843757.3149462
529,9791958.92267793,9731356.97225905,9848179.97699749
531,9793040.23390155,9729599.11016476,9851370.81214977
533,9792880.54583063,9733464.47218514,9844428.36735686
535,9794175.40213634,9733986.79279237,9847377.82758461
537,9793691.20652722,9738224.57232314,9847487.71423353
539,9793569.7579318,9737419.40804971,9848169.14529306
541,9794138.89557554,9733631.50396343,9846064.71911235
543,9793169.95448871,9733590.18252017,9847486.09218733
545,9794643.01903081,9737464.38149841,9847306.68251583
547,9793076.96272583,9733603.94319095,9845654.14662183
549,9793552.64140938,9735688.69541673,9843896.72382055
551,9792788.08779399,9728365.29737143,9843696.77773475
553,9792843.03521861,9742310.78734447,9843783.20702404
