"","case_nb","popinit","K","MT","nb_stkh","at","bb","extinct","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"101",21,8780,12491,7463,48,0,0.5,0,18,71,9,45,9,41,9,50,11,45,30,23,22,16,52,45,13,35,33,27
"102",21,8780,12491,7463,48,0.1,0.5,0,16,28,55,55,6,6,26,35,41,33,23,34,34,66,66,6,9,9,9,9
"103",21,8780,12491,7463,48,0.673723703604449,0.5,0,15,15,15,15,15,100,100,100,4,4,4,4,4,4,4,4,4,4,4,4
"104",21,8780,12491,7463,48,0.7,0.5,1,15,15,15,15,100,100,100,4,9,9,9,9,9,9,9,9,9,9,0,0
"105",21,8780,12491,7463,48,1,0.5,1,16,16,16,16,16,100,100,100,100,3,0,0,0,0,0,0,0,0,0,0
"106",22,9428,4155,2920,11,0,0.5,0,17,100,100,76,90,76,9,100,9,9,100,9,100,43,35,9,58,16,100,9
"107",22,9428,4155,2920,11,0.1,0.5,0,16,100,100,76,83,90,9,76,76,76,76,3,3,100,9,9,9,9,100,100
"108",22,9428,4155,2920,11,0.422945205479452,0.5,0,15,100,100,100,100,100,100,3,9,9,6,9,9,9,9,9,9,9,9,34
"109",22,9428,4155,2920,11,0.7,0.5,1,15,100,100,100,100,100,100,100,2,9,9,9,9,9,0,0,0,0,0,0
"110",22,9428,4155,2920,11,1,0.5,1,19,19,19,19,19,100,100,100,100,100,100,100,2,2,6,9,0,0,0,0
"111",23,8092,8110,7259,49,0,0.5,0,16,23,20,25,13,38,12,43,9,47,20,9,10,32,43,9,9,41,9,28
"112",23,8092,8110,7259,49,0.1,0.5,0,16,17,17,47,47,6,6,35,35,6,32,19,37,37,37,4,4,25,17,30
"113",23,8092,8110,7259,49,0.117233778757405,0.5,0,16,45,45,6,9,9,25,43,43,43,4,4,4,4,71,71,6,9,9,9
"114",23,8092,8110,7259,49,0.7,0.5,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
"115",23,8092,8110,7259,49,1,0.5,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
"116",24,5494,4147,3514,35,0,0.5,0,19,25,22,9,18,20,23,9,27,9,9,34,19,19,9,27,23,21,9,27
"117",24,5494,4147,3514,35,0.1,0.5,0,16,16,38,38,6,9,9,9,9,9,30,30,6,6,6,17,32,32,32,4
"118",24,5494,4147,3514,35,0.180136596471258,0.5,0,22,22,22,22,22,22,22,2,2,2,52,52,6,9,9,9,9,9,9,9
"119",24,5494,4147,3514,35,0.7,0.5,0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
"120",24,5494,4147,3514,35,1,0.5,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
"121",25,6140,11329,8007,44,0,0.5,0,16,9,9,9,9,62,50,27,23,17,83,9,11,37,71,41,9,43,9,33
"122",25,6140,11329,8007,44,0.1,0.5,0,16,9,9,9,55,55,55,4,9,9,27,40,55,55,55,4,4,43,43,43
"123",25,6140,11329,8007,44,0.414886973897839,0.5,0,15,15,15,15,15,15,15,27,27,100,100,100,4,9,9,9,9,9,9,9
"124",25,6140,11329,8007,44,0.7,0.5,1,18,18,18,18,18,18,18,18,18,18,18,10,10,100,100,100,100,3,0,0
"125",25,6140,11329,8007,44,1,0.5,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
"126",26,9199,10648,7312,36,0,0.5,0,16,100,33,15,76,31,28,20,33,90,22,62,9,28,47,52,20,71,9,47
"127",26,9199,10648,7312,36,0.1,0.5,0,15,90,34,34,34,34,76,76,6,9,9,9,38,76,52,52,33,33,23,28
"128",26,9199,10648,7312,36,0.456236323851203,0.5,0,18,100,100,100,4,9,9,9,9,9,9,9,9,9,9,9,6,6,6,6
"129",26,9199,10648,7312,36,0.7,0.5,0,15,15,15,15,15,100,100,100,100,3,9,9,9,9,9,9,9,9,9,9
"130",26,9199,10648,7312,36,1,0.5,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
"131",27,6064,785,627,12,0,0.5,1,16,83,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"132",27,6064,785,627,12,0.1,0.5,1,16,76,9,9,6,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0
"133",27,6064,785,627,12,0.251993620414673,0.5,1,19,76,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0
"134",27,6064,785,627,12,0.7,0.5,1,18,90,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"135",27,6064,785,627,12,1,0.5,1,16,76,76,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"136",28,6708,12775,10761,10,0,0.5,0,14,9,9,9,43,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"137",28,6708,12775,10761,10,0.1,0.5,0,13,9,9,9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"138",28,6708,12775,10761,10,0.187157327385931,0.5,0,17,9,9,9,9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"139",28,6708,12775,10761,10,0.7,0.5,0,15,15,15,15,15,15,15,15,15,15,15,9,9,9,9,9,9,9,9,9
"140",28,6708,12775,10761,10,1,0.5,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
"141",29,6585,7693,5569,20,0,0.5,0,17,100,47,55,28,100,100,9,28,100,100,9,83,9,76,35,83,32,76,52
"142",29,6585,7693,5569,20,0.1,0.5,0,19,100,35,35,76,55,100,47,47,47,47,47,47,47,41,41,45,37,34,100
"143",29,6585,7693,5569,20,0.381397019213503,0.5,0,14,14,100,100,100,100,3,3,3,3,3,3,37,100,100,100,100,100,3,9
"144",29,6585,7693,5569,20,0.7,0.5,1,18,18,18,18,18,100,100,100,100,100,100,100,2,9,9,9,9,0,0,0
"145",29,6585,7693,5569,20,1,0.5,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
"146",30,9239,9875,7645,6,0,0.5,0,18,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"147",30,9239,9875,7645,6,0.1,0.5,0,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"148",30,9239,9875,7645,6,0.291693917593198,0.5,0,21,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"149",30,9239,9875,7645,6,0.7,0.5,0,14,14,14,14,14,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"150",30,9239,9875,7645,6,1,0.5,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
