"","rep","budget","at","bb","extinct","act_dev","abs_act_dev","fin_yield","max_diff_yield","inac_ts","SumSqDev"
"165",65,1000,0.1,0.2,0,-0.9855,0.9855,38989.25,0.0303490136570561,0,15832320
"166",66,1000,0.1,0.2,0,-0.441,0.441,39700.75,0.0160481444332999,0,7544041
"167",67,1000,0.1,0.2,1,-0.992,0.992,40000,0,0,17334075
"168",68,1000,0.1,0.2,0,-0.352,0.352,32332.59375,0.063896805159742,0,10512567
"169",69,1000,0.1,0.2,0,0.4755,0.4755,32778,0.0823771697558105,0,7275416
"170",70,1000,0.1,0.2,0,-0.382,0.382,32931.671875,0.0744797772567409,0,7489830
"171",71,1000,0.1,0.2,0,0.1785,0.1785,35310.9375,0.053618194348725,0,6794805
"172",72,1000,0.1,0.2,0,-0.229,0.229,40000,0,0,7502321
"173",73,1000,0.1,0.2,0,-0.2165,0.2165,40000,0,0,6460899
"174",74,1000,0.1,0.2,0,0.256,0.256,40000,0,0,9242920
"175",75,1000,0.1,0.2,0,0.478,0.478,35735.375,0.0877970197341925,0,8511195
"176",76,1000,0.1,0.2,1,-0.953,0.953,39772.5,0.0115115115115115,0,15390034
"177",77,1000,0.1,0.2,0,0.647,0.647,34176.21875,0.0898034224296422,0,8998917
"178",78,1000,0.1,0.2,0,0.5065,0.5065,35321,0.0590642477151821,0,6725548
"179",79,1000,0.1,0.2,0,0.2805,0.2805,34509.375,0.063752276867031,0,7153148
"180",80,1000,0.1,0.2,0,-0.316,0.316,40000,0,0,7776260
"181",81,1000,0.1,0.2,0,0.0840000000000001,0.0840000000000001,35422.8125,0.0676394381562798,0,7368218
"182",82,1000,0.1,0.2,1,-0.992,0.992,39994,0.0025,0,20206024
"183",83,1000,0.1,0.2,0,0.244,0.244,33668.25,0.0750143430866322,0,7016753
"184",84,1000,0.1,0.2,1,-0.9495,0.9495,39671.25,0.0175,0,18955484
"185",85,1000,0.1,0.2,1,-0.9895,0.9895,40000,0,0,16484627
"186",86,1000,0.1,0.2,0,0.153,0.153,35254.375,0.0522893899571172,0,10133620
"187",87,1000,0.1,0.2,0,-0.1365,0.1365,32998,0.0981033355134075,0,10266087
"188",88,1000,0.1,0.2,0,-1,1,39916,0.007,0,20138085
"189",89,1000,0.1,0.2,0,0.309,0.309,34889.625,0.0762153254600385,0,7423186
"190",90,1000,0.1,0.2,0,-0.416,0.416,39856.5,0.00550275137568784,0,8639073
