"rep","budget","at","bb","ext_prob","ext_prob_sd","ext_prob_95ci_inf","ext_prob_95ci_sup","act_dev","act_dev_sd","act_dev_95ci_inf","act_dev_95ci_sup","abs_act_dev","abs_act_dev_sd","abs_act_dev_95ci_inf","abs_act_dev_95ci_sup","fin_yield","fin_yield_sd","fin_yield_95ci_inf","fin_yield_95ci_sup","max_diff_yield","max_diff_yield_sd","max_diff_yield_95ci_inf","max_diff_yield_95ci_sup","inac_ts","inac_ts_sd","inac_ts_95ci_inf","inac_ts_95ci_sup","overK_tot","overK_sd","overK_95ci_inf","overK_95ci_sup"
100,1000,0.2,0.8,0.81,0.123413892608932,0.73,0.88,-0.283365,0.12216384052897,-0.355845,-0.20752,0.330805,0.107856420769464,0.26575,0.39997,39020.711328125,709.42872763277,38566.745390625,39411.7175,0.0155297345334795,0.00728671952192018,0.0113187013726645,0.0201489720284589,0.197057297578582,0.0308337786729483,0.176666040100251,0.214716415421524,0.287483098643702,0.0363643682357704,0.264046633234327,0.310424530491868
100,1000,0.2,0.9,0.78,0.130500013545415,0.7,0.86,-0.2786,0.122687480871526,-0.36398,-0.210575,0.32797,0.102076337809529,0.26724,0.394025,38815.0859375,730.899348199898,38302.4278125,39238.5475,0.0190643585391078,0.0084291678343255,0.0141808860912494,0.0243476908672195,0.186889745531386,0.0279680573881391,0.169342279667357,0.202849682996742,0.299431493343258,0.0313312240557015,0.27846894247823,0.317543203313714
100,1000,0.2,1,0.75,0.141645438694758,0.67,0.84,-0.168585,0.131029033269776,-0.2497,-0.087735,0.302055,0.10588421190647,0.234805,0.36985,38487.30203125,797.595306938647,37986.6503125,38979.75078125,0.0236510497694724,0.00922567386419943,0.0177676094794483,0.0292102685812278,0.215936395218129,0.0296544151114874,0.197870219950328,0.233747975235978,0.317290166403944,0.0367993496955126,0.294717275672384,0.339424552313871
100,1000,0.3,0,1,0,1,1,-0.403855,0.123588197973179,-0.47868,-0.32747,0.408005,0.121148912497256,0.334025,0.48134,39793.375,100.554631736684,39731.0625,39852.36,0.00806830263468662,0.00360793072536083,0.00599141821904921,0.0103265675616634,0.240714119214119,0.0209558070996661,0.22775197025197,0.253236291486291,0.315770007770008,0.0327527703002528,0.295176101676102,0.336265234765235
100,1000,0.3,0.1,1,0,1,1,-0.367355,0.117444724024795,-0.44052,-0.297715,0.372795,0.115966571065739,0.299935,0.445685,39766.475625,114.545345888644,39693.27875,39831.65875,0.00939824886569329,0.00414043390673684,0.00669493298865898,0.0120602178717258,0.276688297813298,0.0230906572828436,0.262998279498279,0.29103237040737,0.340024919524919,0.0350335841973869,0.319275807525808,0.363286824286824
100,1000,0.3,0.2,1,0,1,1,-0.31968,0.117018992100691,-0.39843,-0.25452,0.3312,0.114753523546738,0.263375,0.401465,39671.49375,137.529608892226,39589.3675,39753.59125,0.0112693338725131,0.0038966854551972,0.00898379770447751,0.0137341348422492,0.253833682657212,0.0251017604587336,0.237508912655971,0.268958863032392,0.324526577180989,0.032667849113413,0.304163641097465,0.34338496878938
100,1000,0.3,0.3,1,0,1,1,-0.29261,0.0934617233807995,-0.35524,-0.23767,0.29446,0.0904369976691947,0.242665,0.34853,39786.493125,83.1823018580124,39731.444375,39834.860625,0.00885761909783769,0.00304433251395123,0.00698077625142192,0.010799186708345,0.270307976337388,0.033613801795075,0.250426143301143,0.291430333555333,0.294633414787827,0.0305792049221817,0.276533633033633,0.313222569097569
100,1000,0.3,0.4,1,0,1,1,-0.33419,0.107975196882287,-0.40264,-0.27033,0.34196,0.111419191277809,0.27373,0.414615,39723.60125,135.731505946263,39636.5725,39807.63,0.0102471430453057,0.00390073662662038,0.00778159846624483,0.0126823646801083,0.251390691180165,0.0239734500990856,0.236844872963294,0.265880479169953,0.325379553195343,0.0338791554411616,0.30413702963703,0.344794927294927
100,1000,0.3,0.5,1,0,1,1,-0.308555,0.107900993457188,-0.381505,-0.246185,0.316345,0.103221019421834,0.252335,0.38303,39791.17625,102.930883088677,39732.15125,39854.23625,0.00776999144337865,0.00351099770368274,0.0057680931726764,0.0100993026587671,0.265356143856144,0.021939884614747,0.251807081807082,0.27931240981241,0.319447524697525,0.0366608023995001,0.296022921522922,0.342570540570541
100,1000,0.3,0.6,0.98,0.0440559332272653,0.95,1,-0.364655,0.128371458786892,-0.44606,-0.290885,0.370605,0.123111512781516,0.29855,0.445405,39635.146328125,357.681264503798,39368.721484375,39800.77625,0.0111504570871461,0.00563557470343247,0.00802706982749627,0.0147131771861377,0.245587620712621,0.0277472621916996,0.228225912975913,0.262713827838828,0.302697649572649,0.036473746462309,0.280582029082029,0.32508368020868
100,1000,0.3,0.7,0.99,0.0290662774508276,0.97,1,-0.38529,0.128853477363734,-0.46344,-0.309525,0.39306,0.118699119571964,0.32049,0.465245,39752.19,137.779183699707,39661.403125,39830.524375,0.00913051455960396,0.00373608302576011,0.00687527628442098,0.0113714513728406,0.244583827936769,0.0244425401011346,0.229972548693137,0.260323217632041,0.315035200094024,0.0382413863216158,0.291365348703584,0.338158839526487
100,1000,0.3,0.8,1,0,1,1,-0.30152,0.106681834114962,-0.370625,-0.24112,0.30881,0.108035516921595,0.244325,0.373155,39776.193125,113.065483826362,39701.494375,39841.24375,0.00864133692334196,0.00350826888235685,0.00654350164207417,0.0107586690320936,0.259575077700078,0.0211522142658705,0.245784992784993,0.271859668109668,0.317749902874903,0.0319802899359487,0.298713827838828,0.337960137085137
100,1000,0.3,0.9,0.98,0.0447244199221604,0.95,1,-0.49484,0.123070974149291,-0.578115,-0.422305,0.49655,0.125235269112062,0.41903,0.57454,39830.59125,124.68281952829,39748.238125,39904.356875,0.00621440809810413,0.00329644491273437,0.00428188212530175,0.00840444504267047,0.23885379571409,0.0234082149668913,0.224338724184312,0.253422159539807,0.316847627862334,0.0322671317556491,0.296519938394938,0.336478707566943
100,1000,0.3,1,1,0,1,1,-0.470975,0.125746452507601,-0.544275,-0.39276,0.474565,0.126881647177103,0.394545,0.552095,39801.763125,104.831067444596,39732.9775,39862.024375,0.00790755433134339,0.00322841816669093,0.00598401771117404,0.0100200166604304,0.236770033887681,0.0259473183554309,0.221480761068996,0.253245334730629,0.324260121414533,0.0353730838213471,0.302172437856261,0.344977126631538
100,1000,0.4,0,1,0,1,1,-0.425415,0.125190142007401,-0.51037,-0.35284,0.433895,0.119309034084591,0.36453,0.506165,39727.135,145.330039603195,39638.419375,39813.733125,0.00919591574555377,0.00431526776555504,0.0066846565294307,0.0118584060922408,0.272911616161616,0.0266070656168243,0.256117965367965,0.288883838383838,0.335663780663781,0.0374409248200436,0.31202886002886,0.356729076479076
100,1000,0.4,0.1,1,0,1,1,-0.483805,0.124261475240013,-0.559275,-0.410955,0.486605,0.120393973476439,0.414455,0.56183,39857.37625,122.675098977828,39773.57,39921.09,0.0049621834459058,0.00295142631694477,0.00323809481490789,0.0068385304646129,0.254393578643579,0.0257662538764802,0.23973556998557,0.271507936507936,0.326346681096681,0.0363125594879173,0.303412698412698,0.34697619047619
100,1000,0.4,0.2,1,0,1,1,-0.34995,0.111068369871126,-0.41814,-0.28344,0.36368,0.113871985448971,0.2946,0.435125,39690.555625,176.092730817336,39563.755,39790.631875,0.00915120040105412,0.00403964945058275,0.00671444796575122,0.0118074130907636,0.258777777777778,0.0251441156131873,0.242480158730159,0.273821428571428,0.342647186147186,0.0379812894579337,0.318691558441558,0.366654761904762
100,1000,0.4,0.3,1,0,1,1,-0.282845,0.0988397602299341,-0.341905,-0.223685,0.296665,0.0912569159145008,0.24136,0.35431,39622.1509375,181.929659194264,39498.9915625,39725.616875,0.0100851834977805,0.00357560336035717,0.00792113862365778,0.0124721960197845,0.295014790764791,0.0315758687857427,0.274439393939394,0.314073593073593,0.312925435675436,0.0387694773023457,0.289772227772228,0.335702602952603
100,1000,0.4,0.4,1,0,1,1,-0.39068,0.113045542472604,-0.459305,-0.323115,0.40137,0.113159600936697,0.331175,0.47063,39747.249375,147.86599619111,39653.838125,39836.82375,0.00836329170425822,0.00410684446928238,0.00587735465760758,0.0108602965788999,0.266135642135642,0.0225722780952641,0.252215007215007,0.279757936507936,0.326215728715729,0.033378387126802,0.304842712842713,0.346402236652237
100,1000,0.4,0.5,1,0,1,1,-0.391965,0.123678366728243,-0.47119,-0.316855,0.400995,0.111537193964048,0.329395,0.467725,39742.19125,140.218933176855,39653.166875,39818.72875,0.00849991221190052,0.0032445718594837,0.00656981587916767,0.0105956020760064,0.257915584415584,0.0271181436728212,0.239935425685426,0.273162337662338,0.337968614718615,0.0431271517502003,0.31078354978355,0.36479797979798
100,1000,0.4,0.6,1,0,1,1,-0.4298,0.110839586611217,-0.500695,-0.36325,0.43318,0.11384318002463,0.363385,0.50186,39747.34625,137.565960870808,39658.230625,39825.73875,0.00820013059143688,0.00309384810573107,0.00631798336697168,0.0100849751679065,0.262357864357864,0.0384050164862425,0.238357864357864,0.285460317460317,0.298155844155844,0.0381347869361717,0.27494696969697,0.321501082251082
100,1000,0.4,0.7,1,0,1,1,-0.387155,0.118016978208757,-0.46169,-0.312125,0.404135,0.114251472355082,0.33734,0.47701,39680.0196875,187.810668607295,39556.385,39787.134375,0.00941504657647805,0.0041842845639867,0.00697176859312883,0.0121327458031754,0.26463875013875,0.0251257795114288,0.249023670773671,0.280392857142857,0.341877206127206,0.0413945953908233,0.316649794649795,0.36820535020535
100,1000,0.4,0.8,1,0,1,1,-0.414975,0.123000939971378,-0.49285,-0.344485,0.424365,0.118309137449584,0.35026,0.496425,39754.2975,152.923499878269,39656.56,39843.56625,0.00766818234541065,0.00345101542220595,0.00569361279313112,0.00978363920231489,0.261480158730159,0.0253203345441711,0.2455,0.277166666666667,0.324626984126984,0.0375404253750271,0.300698412698413,0.347468253968254
100,1000,0.4,0.9,1,0,1,1,-0.531915,0.121100282988413,-0.605435,-0.457415,0.534385,0.118088280301141,0.461645,0.6094,39782.253125,140.561480675287,39684.529375,39866.040625,0.00689454209215134,0.00342681228324306,0.00488689823374559,0.00912964377885094,0.262090104340104,0.0263445779636107,0.246305722055722,0.277858252858253,0.314777333777334,0.0380961222602278,0.291450493950494,0.338562049062049
