"rep","memory","budget","ratio","at","bb","extinct","act_dev","abs_act_dev","fin_yield","max_diff_yield","inac_ts","SumAbsDev","final_ts"
1,1,1000,0.5,0.3,0,1,-0.8955,0.8955,38997.75,0.0278622087132725,0.181818181818182,9088,11
2,1,1000,0.5,0.3,0,1,-0.9805,0.9805,40000,0,0,7076,5
3,1,1000,0.5,0.3,0,1,-0.987,0.987,38901.75,0.0370604604098153,0,5399,4
4,1,1000,0.5,0.3,0,1,-0.969,0.969,40000,0,0,7531,7
5,1,1000,0.5,0.3,0,1,-0.9935,0.9935,40000,0,0,7389,5
6,1,1000,0.5,0.3,0,1,-0.981,0.981,40000,0,0,7074,5
7,1,1000,0.5,0.3,0,1,-0.904,0.904,39749,0.0165165165165165,0.222222222222222,6996,9
8,1,1000,0.5,0.3,0,1,-0.893,0.893,39521.75,0.0150678051230537,0,7230,6
9,1,1000,0.5,0.3,0,1,-0.938,0.938,39742.25,0.0150225338007011,0,7112,6
10,1,1000,0.5,0.3,0,1,-0.9415,0.9415,39880,0.00750375187593797,0,6481,5
1,1,1000,0.6,0.3,0,1,-0.8835,0.8835,39328.375,0.0211586901763224,0,6287,5
2,1,1000,0.6,0.3,0,1,-0.961,0.961,39964,0.002,0,10548,10
3,1,1000,0.6,0.3,0,1,-0.8855,0.8855,39796.25,0.00701402805611222,0.1,8506,10
4,1,1000,0.6,0.3,0,1,-0.9695,0.9695,39904,0.005,0,8894,8
5,1,1000,0.6,0.3,0,1,-0.887,0.887,39718.75,0.00902708124373119,0.428571428571429,7962,14
6,1,1000,0.6,0.3,0,1,-0.914,0.914,39952,0.0035,0,6981,6
7,1,1000,0.6,0.3,0,1,-0.927,0.927,39964,0.002,0,7295,7
8,1,1000,0.6,0.3,0,1,-0.905,0.905,39256,0.0224181360201511,0,7137,6
9,1,1000,0.6,0.3,0,1,-0.9645,0.9645,39797.25,0.00976464697045568,0,8158,7
10,1,1000,0.6,0.3,0,1,-0.9005,0.9005,39117.625,0.0273417721518987,0,8006,7
1,1,1000,0.7,0.3,0,1,-0.8645,0.8645,39235,0.0324773413897281,0,6784,6
2,1,1000,0.7,0.3,0,1,-0.9655,0.9655,39850.75,0.008,0,10012,8
3,1,1000,0.7,0.3,0,1,-0.924,0.924,39185.75,0.020480404551201,0.111111111111111,8968,9
4,1,1000,0.7,0.3,0,1,-0.914,0.914,39087.75,0.0215353432987079,0.153846153846154,11655,13
5,1,1000,0.7,0.3,0,1,-0.9865,0.9865,39982,0.004,0.181818181818182,10998,11
6,1,1000,0.7,0.3,0,1,-0.9865,0.9865,40000,0,0.2,12914,15
7,1,1000,0.7,0.3,0,1,-0.9835,0.9835,40000,0,0.153846153846154,11496,13
8,1,1000,0.7,0.3,0,1,-0.869,0.869,38615.25,0.0333928116237573,0,8855,9
9,1,1000,0.7,0.3,0,1,-0.964,0.964,39868.5,0.00675337668834417,0,13372,13
10,1,1000,0.7,0.3,0,1,-0.981,0.981,39970,0.002,0,8662,8
1,1,1000,0.8,0.3,0,0,-0.4665,0,36490.15625,0.0434143734971948,0.1,13390,20
2,1,1000,0.8,0.3,0,1,-0.987,0.987,39940,0.0035,0,8640,7
3,1,1000,0.8,0.3,0,1,-0.925,0.925,39346.25,0.0194052419354839,0.111111111111111,8750,9
4,1,1000,0.8,0.3,0,1,-0.9825,0.9825,39952,0.003,0,8739,8
5,1,1000,0.8,0.3,0,1,-0.9315,0.9315,39375.25,0.0311401305876444,0.166666666666667,11318,12
6,1,1000,0.8,0.3,0,1,-0.8935,0.8935,39571.25,0.0223281485198194,0,7232,7
7,1,1000,0.8,0.3,0,0,-0.681,0,37668,0.0481693066735913,0.15,13413,20
8,1,1000,0.8,0.3,0,1,-0.9585,0.9585,39624,0.014321608040201,0.230769230769231,10900,13
9,1,1000,0.8,0.3,0,1,-0.9925,0.9925,40000,0,0.1,10601,10
10,1,1000,0.8,0.3,0,1,-0.981,0.981,39994,0.0015,0.1,10406,10
1,1,1000,0.9,0.3,0,0,-0.965,0,38581.375,0.0364516951312771,0.15,16881,20
2,1,1000,0.9,0.3,0,1,-0.9345,0.9345,39528,0.018574297188755,0.105263157894737,16175,19
3,1,1000,0.9,0.3,0,1,-0.978,0.978,39952,0.0035,0,14423,13
4,1,1000,0.9,0.3,0,0,-0.3205,0,32404.84375,0.08210463288676,0.2,13372,20
5,1,1000,0.9,0.3,0,1,-0.9835,0.9835,39988,0.003,0.214285714285714,12802,14
6,1,1000,0.9,0.3,0,0,0.00099999999999989,0,34323.15625,0.0799606520517144,0.25,9460,20
7,1,1000,0.9,0.3,0,1,-0.9835,0.9835,39904.25,0.00500250125062531,0,9792,7
