"","rep","budget","at","bb","ext_prob","ext_prob_sd","ext_prob_95ci_inf","ext_prob_95ci_sup","act_dev","act_dev_sd","act_dev_95ci_inf","act_dev_95ci_sup","abs_act_dev","abs_act_dev_sd","abs_act_dev_95ci_inf","abs_act_dev_95ci_sup","fin_yield","fin_yield_sd","fin_yield_95ci_inf","fin_yield_95ci_sup","max_diff_yield","max_diff_yield_sd","max_diff_yield_95ci_inf","max_diff_yield_95ci_sup","inac_ts","inac_ts_sd","inac_ts_95ci_inf","inac_ts_95ci_sup","SumSqDev","SumSqDev_sd","SumSqDev_95ci_inf","SumSqDev_95ci_sup"
"32",98,1000,0.3,0.8,0.02,0.0442498758772442,0,0.05,-0.00568877551020408,0.117921772803728,-0.0753724489795918,0.0661989795918367,0.276607142857143,0.0753337371104025,0.228020408163265,0.323479591836735,35665.4001116071,1016.87598903645,34998.9672353316,36274.5463966837,0.0568116088206033,0.0115283255127643,0.0492440008415962,0.0637477284664726,0.162755102040816,0.0166229081352903,0.152551020408163,0.172959183673469,9614984.29591837,622116.753199446,9248261.51020408,10006972.1836735
"33",99,1000,0.3,0.9,0.01,0.031069748839173,0,0.03,0.0188585858585859,0.102938923447124,-0.044550505050505,0.0805,0.271858585858586,0.0591529451724714,0.237050505050505,0.309540404040404,35967.9058948864,1076.99128317869,35301.0666824495,36593.154592803,0.0509261875910489,0.0112013280371415,0.0435542454729273,0.0575568129781117,0.151010101010101,0.0167729027975683,0.14040404040404,0.161111111111111,9823174.31313131,549961.215238091,9480514.76767677,10176076.8989899
"34",99,1000,0.3,1,0.01,0.0325200171456215,0,0.03,0.013489898989899,0.104556370562231,-0.0499444444444445,0.0815,0.273287878787879,0.0612825114885034,0.236313131313131,0.311469696969697,36258.6313131313,1115.30966846533,35574.0931186869,36941.1712436869,0.049297871554944,0.0122902699917642,0.0414526600733055,0.0566596226996598,0.156565656565657,0.0124520222452653,0.148989898989899,0.164141414141414,9842455.6969697,528320.125504705,9538013.11111111,10199751.3939394
"35",80,1000,0.4,0,0.2,0.127672307811123,0.12,0.29,0.02713125,0.137538708897553,-0.051575,0.0979375,0.27986875,0.0859523332119163,0.23466875,0.3283125,35379.1778320313,1206.61255849196,34737.7739257812,36025.2334960938,0.0601047743504603,0.0139514317235989,0.0517743910532723,0.0676326254954022,0.265,0.0271421421617994,0.25,0.279375,9345732.4,959400.62339797,8831988.3125,9890718.3625
"36",85,1000,0.4,0.1,0.15,0.114058216572401,0.08,0.22,-0.0135058823529412,0.134001586487167,-0.091,0.0571352941176471,0.289658823529412,0.0705635423542486,0.251305882352941,0.330652941176471,34606.3596507353,1001.0009713614,34050.0065257353,35159.9511029412,0.0682838763975825,0.0101152702303248,0.0625370269179362,0.0735767282199842,0.253529411764706,0.0231130563827059,0.240588235294118,0.267647058823529,9567663.65882353,712437.060161974,9176028.12941176,9994228.96470588
"37",95,1000,0.4,0.2,0.05,0.0682385595547049,0.01,0.1,-0.0240473684210526,0.119788474652513,-0.0945526315789474,0.0474789473684211,0.295331578947368,0.0715185333421454,0.255821052631579,0.341121052631579,34608.8337993421,1074.45799373629,33934.7258223684,35236.8504934211,0.0637705850347586,0.0113862647600261,0.0566159427217843,0.0702897163770974,0.254736842105263,0.0199714352948453,0.242631578947368,0.266315789473684,9804167.86315789,729836.107210307,9380145.03157895,10260714.5578947
"38",89,1000,0.4,0.3,0.11,0.0973336446653385,0.05,0.17,0.0408033707865169,0.159263647403824,-0.0561629213483146,0.132561797752809,0.367095505617978,0.102454966877859,0.306308988764045,0.427691011235955,35235.3850070225,1246.47898987424,34538.7533356742,35978.157127809,0.0571599744304831,0.0129369955922887,0.0493583061227791,0.0643580736036141,0.27247191011236,0.0172841539243216,0.262921348314607,0.282022471910112,10166798.4269663,1097392.88832133,9556788.20224719,10804528.741573
"39",94,1000,0.4,0.4,0.06,0.0754299126154321,0.02,0.11,0.00415957446808511,0.130197460385801,-0.0705851063829787,0.083031914893617,0.289797872340426,0.083564700018638,0.242936170212766,0.34138829787234,34284.4693317819,1229.66868581895,33594.2873171543,35023.0235206117,0.0676011703839522,0.0125172365756027,0.0599621656160345,0.0751808575637331,0.253191489361702,0.0180922522621892,0.241489361702128,0.263297872340426,10630340.7234043,799170.019201316,10117682.4255319,11079363.2340426
"40",92,1000,0.4,0.5,0.08,0.0858002378089992,0.03,0.13,0.0318858695652174,0.128640086086372,-0.0416847826086957,0.106994565217391,0.282461956521739,0.0823769819579608,0.234494565217391,0.330467391304348,34884.6816830842,1240.6145324217,34122.2035071332,35600.3489724864,0.0615617993959891,0.0120982003038804,0.0543988868744356,0.0684904367128356,0.259782608695652,0.0168950792271554,0.25054347826087,0.270652173913043,10996631.7065217,910649.250137657,10491967.326087,11558616.8913043
"41",89,1000,0.4,0.6,0.11,0.103008462925837,0.05,0.17,-0.00390449438202247,0.149302569455134,-0.0849157303370787,0.0844438202247191,0.341455056179775,0.0869401608872732,0.291185393258427,0.391084269662921,35062.7296348315,1014.97676734037,34507.5542485955,35650.5830407303,0.0627880991383852,0.0108741173875116,0.0561664722469993,0.068560419850821,0.239325842696629,0.0224811303224708,0.22752808988764,0.253370786516854,10277689.3483146,928023.531438608,9798166.98876405,10843176.2921348
