"","rep","budget","at","bb","extinct","act_dev","abs_act_dev","fin_yield","max_diff_yield","inac_ts"
"203",3,100,0.4,0.5,0,-0.965,0.965,9985.5625,0.0769927536231884,2
"204",4,100,0.4,0.5,1,-0.989,0.989,9994.75,0.0918610185625892,1
"205",5,100,0.4,0.5,1,-0.857,0.857,9938,0.0919117647058824,0
"206",6,100,0.4,0.5,0,0.00800000000000001,0.00800000000000001,9573.875,0.189179505553565,12
"207",7,100,0.4,0.5,0,0.478,0.478,9383.72265625,0.163159837578442,7
"208",8,100,0.4,0.5,0,1.314,1.314,9035.3125,0.161274915621219,8
"209",9,100,0.4,0.5,0,1.321,1.321,9029.03125,0.171677920754236,6
"210",10,100,0.4,0.5,1,-0.99,0.99,9995.625,0.0955598455598456,1
"211",11,100,0.4,0.5,0,-0.968,0.968,9986.5,0.120303343674595,2
"212",12,100,0.4,0.5,1,-0.99,0.99,9995.25,0.0824619771863118,1
"213",13,100,0.4,0.5,0,1.466,1.466,8968.5,0.102692610062893,7
"214",14,100,0.4,0.5,1,-0.988,0.988,9995.125,0.120837297811608,1
"215",15,100,0.4,0.5,0,1.367,1.367,9028.359375,0.119458578602547,6
"216",16,100,0.4,0.5,1,-0.986,0.986,9993.75,0.0878378378378378,1
"217",17,100,0.4,0.5,0,1.25,1.25,9059.90625,0.126586355730207,9
"218",18,100,0.4,0.5,1,-0.99,0.99,9996,0.0867492850333651,2
"219",19,100,0.4,0.5,1,-0.989,0.989,9995.25,0.0617732558139535,1
"220",20,100,0.4,0.5,1,-0.982,0.982,9993,0.0793918918918919,2
"221",21,100,0.4,0.5,1,-0.989,0.989,9995.375,0.0995260663507109,1
"222",22,100,0.4,0.5,0,0.6,0.6,9323.359375,0.0736914151619842,14
"223",23,100,0.4,0.5,0,1.611,1.611,8912.9453125,0.102419994710394,5
"224",24,100,0.4,0.5,1,-0.818,0.818,9922,0.0975965040058267,0
"225",25,100,0.4,0.5,1,-0.986,0.986,9994,0.108991175769139,1
"226",26,100,0.4,0.5,1,-0.987,0.987,9994,0.0952722063037249,1
"227",27,100,0.4,0.5,1,-0.842,0.842,9931.375,0.0830784289734492,0
"228",28,100,0.4,0.5,0,1.587,1.587,8925.6875,0.0818590092542188,9
"229",29,100,0.4,0.5,1,-0.99,0.99,9996.125,0.132409177820268,1
"230",30,100,0.4,0.5,1,-0.988,0.988,9994.75,0.131367924528302,1
"231",31,100,0.4,0.5,0,-0.973,0.973,9987.5,0.11352885525071,2
"232",32,100,0.4,0.5,0,-0.368,0.368,9730.875,0.1190884587111,10
"233",33,100,0.4,0.5,0,-0.101,0.101,9605.9375,0.173800564440263,9
"234",34,100,0.4,0.5,0,-0.787,0.787,9908.125,0.0950059453032105,3
"235",35,100,0.4,0.5,0,0.075,0.075,9540.5625,0.125943337869603,18
"236",36,100,0.4,0.5,1,-0.973,0.973,9988.75,0.103835360149673,2
"237",37,100,0.4,0.5,0,-0.864,0.864,9942.125,0.0694731719187249,2
"238",38,100,0.4,0.5,0,-0.875,0.875,9945.875,0.1076046980662,6
"239",39,100,0.4,0.5,0,-0.493,0.493,9787.25,0.101998537655374,11
"240",40,100,0.4,0.5,0,-0.987,0.987,9994.25,0.144434222631095,2
"241",41,100,0.4,0.5,0,-0.523,0.523,9792.5,0.100119331742243,6
"242",42,100,0.4,0.5,0,1.396,1.396,9020.7734375,0.177946306216519,8
"243",43,100,0.4,0.5,0,-0.935,0.935,9970.125,0.0925215723873442,3
"244",44,100,0.4,0.5,0,-0.805,0.805,9913.125,0.0612345073015094,5
"245",45,100,0.4,0.5,0,0.085,0.085,9530.3125,0.0926710706718185,9
"246",46,100,0.4,0.5,0,-0.872,0.872,9943.5625,0.107754519505233,3
"247",47,100,0.4,0.5,1,-0.976,0.976,9988.875,0.0811580446131941,2
