"","rep","budget","at","bb","extinct","act_dev","abs_act_dev","fin_yield","max_diff_yield","inac_ts","overK"
"136",6,1000,0.75,0.5,0,0.776,0.776,9307.875,0.022270472699747,7,2
"137",7,1000,0.75,0.5,0,0.477,0.477,9451.75,0.0176179115434025,9,0
"138",8,1000,0.75,0.5,0,0.657,0.657,9396.9375,0.0250366157221014,9,1
"139",9,1000,0.75,0.5,0,0.669,0.669,9412.75,0.00677625135657376,8,1
"140",10,1000,0.75,0.5,0,0.727,0.727,9386.265625,0.0177560872592402,9,1
"141",1,1000,0.75,0.75,0,0.811,0.811,9319.78125,0.0129589776732472,8,2
"142",2,1000,0.75,0.75,0,0.711,0.711,9368.625,0.0254885301614274,9,1
"143",3,1000,0.75,0.75,0,0.693,0.693,9370.78125,0.00760772067373177,7,1
"144",4,1000,0.75,0.75,0,0.028,0.028,9607.5,0.0148896192364066,9,0
"145",5,1000,0.75,0.75,0,0.935,0.935,9229.625,0.0221393318020184,8,3
"146",6,1000,0.75,0.75,0,0.662,0.662,9410.765625,0.0180625162477089,9,1
"147",7,1000,0.75,0.75,0,0.743,0.743,9372.125,0.0246988388252574,8,1
"148",8,1000,0.75,0.75,0,0.763,0.763,9352.65625,0.0154698990113322,9,2
"149",9,1000,0.75,0.75,0,0.797,0.797,9324.96875,0.0246064425584875,8,2
"150",10,1000,0.75,0.75,0,0.769,0.769,9342.0625,0.0205528885946035,9,2
"151",1,1000,0.75,1,0,0.355,0.355,9513.4375,0.00819151929128964,9,0
"152",2,1000,0.75,1,0,0.504,0.504,9451,0.0185803949316666,9,1
"153",3,1000,0.75,1,0,0.598,0.598,9407.4375,0.0171125953444256,9,1
"154",4,1000,0.75,1,0,0.859,0.859,9258.375,0.0127711522208658,9,2
"155",5,1000,0.75,1,0,0.578,0.578,9417.8125,0.00192269442418617,8,1
"156",6,1000,0.75,1,0,0.517,0.517,9440.84375,0.0330679132512549,9,1
"157",7,1000,0.75,1,0,0.764,0.764,9350.90625,0.0186790266512167,8,2
"158",8,1000,0.75,1,0,0.077,0.077,9605.125,0.0041817095659853,9,0
"159",9,1000,0.75,1,0,0.824,0.824,9277.53125,0.00742982938910292,8,2
"160",10,1000,0.75,1,0,0.534,0.534,9448.03125,0.0190600368227593,9,1
"161",1,1000,1,0,0,0.778,0.778,9311.8125,0.0176561377365018,9,2
"162",2,1000,1,0,0,0.7,0.7,9377.4375,0.0131889959280961,8,1
