"","rep","scar","at","bb","extinct","act_dev","final yield","max_diff_yield","inac_ts"
"216",16,0,0.1,0.1,0,-0.052,9593.1875,0.1,3
"217",17,0,0.1,0.1,0,-0.125,9621.75,0.1,3
"218",18,0,0.1,0.1,0,0.05,9554.0625,0.1,8
"219",19,0,0.1,0.1,0,-0.755,9894.75,0.1,6
"220",20,0,0.1,0.1,0,-0.299,9696.40625,0.1,3
"221",21,0,0.1,0.1,0,-0.342,9719.125,0.1,2
"222",22,0,0.1,0.1,0,-0.263,9681.0625,0.1,4
"223",23,0,0.1,0.1,0,-0.966,9984.875,0.2,2
"224",24,0,0.1,0.1,0,0.125,9516.375,0.1,5
"225",25,0,0.1,0.1,1,-0.985,9993.25,0.1,1
"226",26,0,0.1,0.1,0,0.98,9180.40625,0.1,2
"227",27,0,0.1,0.1,0,1.114,9122.1875,0.1,2
"228",28,0,0.1,0.1,0,-0.233,9665.921875,0.2,1
"229",29,0,0.1,0.1,0,1.249,9047.0625,0.1,2
"230",30,0,0.1,0.1,0,-0.464,9769.6875,0.1,10
"231",31,0,0.1,0.1,1,-0.979,9990.5,0.1,1
"232",32,0,0.1,0.1,0,-0.554,9806.625,0.1,1
"233",33,0,0.1,0.1,0,-0.318,9701.9375,0.1,2
"234",34,0,0.1,0.1,0,-0.992,9996,0.1,2
"235",35,0,0.1,0.1,0,0.02,9562.78125,0.1,7
"236",36,0,0.1,0.1,0,-0.09,9615.71875,0.1,2
"237",37,0,0.1,0.1,0,1.145,9099.78125,0.1,5
"238",38,0,0.1,0.1,0,-0.393,9735.25,0.1,1
"239",39,0,0.1,0.1,0,0.476,9372.609375,0.1,4
"240",40,0,0.1,0.1,0,-0.123,9625.625,0.1,4
"241",41,0,0.1,0.1,0,0.402,9395.125,0.1,6
"242",42,0,0.1,0.1,0,-0.461,9764.46875,0.1,4
"243",43,0,0.1,0.1,0,0.0409999999999999,9550.15625,0.1,3
"244",44,0,0.1,0.1,0,-0.751,9893.015625,0.1,1
"245",45,0,0.1,0.1,0,0.042,9554,0.1,3
"246",46,0,0.1,0.1,0,-0.556,9804.875,0.1,3
"247",47,0,0.1,0.1,0,-0.125,9619.375,0.1,1
"248",48,0,0.1,0.1,1,-0.962,9984,0.1,2
"249",49,0,0.1,0.1,0,0.255,9467.96875,0.1,2
"250",50,0,0.1,0.1,0,1.085,9132.78125,0.2,4
"251",51,0,0.1,0.1,0,0.514,9356.125,0.1,4
"252",52,0,0.1,0.1,0,-0.912,9962.28125,0.1,3
"253",53,0,0.1,0.1,0,-0.0629999999999999,9598.4375,0.1,5
"254",54,0,0.1,0.1,0,-0.974,9988.625,0.1,2
"255",55,0,0.1,0.1,0,0.071,9537.5625,0.1,4
"256",56,0,0.1,0.1,1,-0.977,9989.75,0.1,1
"257",57,0,0.1,0.1,0,0.218,9481.5,0.2,5
"258",58,0,0.1,0.1,0,-0.145,9629.75,0.1,5
"259",59,0,0.1,0.1,0,0.0960000000000001,9541.3203125,0.1,6
"260",60,0,0.1,0.1,0,1.146,9108.296875,0.2,3
"261",61,0,0.1,0.1,0,-0.087,9609.59375,0.1,6
"262",62,0,0.1,0.1,1,-0.923,9966.75,0.1,2
"263",63,0,0.1,0.1,0,-0.069,9604.21875,0.1,3
"264",64,0,0.1,0.1,0,-0.375,9725,0.1,3
"265",65,0,0.1,0.1,0,1.546,8961.15625,0.1,3
"266",66,0,0.1,0.1,0,-0.126,9622.1875,0.1,3
"267",67,0,0.1,0.1,0,0.0429999999999999,9556.5,0.1,5
"268",68,0,0.1,0.1,0,-0.413,9743.9375,0.1,3
"269",69,0,0.1,0.1,0,0.274,9461.5625,0.1,6
"270",70,0,0.1,0.1,0,-0.897,9955.125,0.1,6
"271",71,0,0.1,0.1,0,-0.338,9712.1875,0.1,2
"272",72,0,0.1,0.1,0,-0.928,9968.5,0.1,7
"273",73,0,0.1,0.1,1,-0.971,9986.75,0.1,3
"274",74,0,0.1,0.1,0,-0.04,9591.84375,0,4
"275",75,0,0.1,0.1,0,-0.578,9809.625,0.1,2
"276",76,0,0.1,0.1,0,-0.036,9586.09375,0.1,7
"277",77,0,0.1,0.1,0,-0.012,9577.40625,0.1,7
"278",78,0,0.1,0.1,0,-0.005,9578.34375,0.1,6
"279",79,0,0.1,0.1,0,-0.251,9672.203125,0.1,4
"280",80,0,0.1,0.1,0,-0.00800000000000001,9570.53125,0.1,5
"281",81,0,0.1,0.1,0,-0.473,9770.625,0.1,1
"282",82,0,0.1,0.1,1,-0.941,9974,0.1,5
"283",83,0,0.1,0.1,0,-0.118,9621.21875,0.1,8
"284",84,0,0.1,0.1,0,-0.00700000000000001,9578.75,0.1,3
"285",85,0,0.1,0.1,0,-0.114,9618.390625,0.1,5
"286",86,0,0.1,0.1,0,-1,10000,0.1,0
"287",87,0,0.1,0.1,0,-0.0669999999999999,9598.03515625,0.1,2
"288",88,0,0.1,0.1,0,-0.383,9730.78125,0.1,4
"289",89,0,0.1,0.1,0,0.00600000000000001,9568.1875,0.1,7
"290",90,0,0.1,0.1,1,-0.98,9991,0.1,4
"291",91,0,0.1,0.1,0,-0.033,9580.375,0.1,6
"292",92,0,0.1,0.1,0,-0.189,9646.6875,0.1,2
"293",93,0,0.1,0.1,0,-0.376,9727.53125,0.1,5
"294",94,0,0.1,0.1,0,0.12,9521.53125,0.1,4
"295",95,0,0.1,0.1,0,0.102,9523.734375,0.1,5
"296",96,0,0.1,0.1,0,-0.133,9628.5,0.1,4
"297",97,0,0.1,0.1,0,0.471,9373.4375,0.1,3
"298",98,0,0.1,0.1,0,0.314,9438.5625,0.1,8
"299",99,0,0.1,0.1,0,0.16,9498.5625,0.1,7
"300",100,0,0.1,0.1,0,1.079,9126.609375,0.1,4
"301",1,0,0.1,0.2,0,0.164,9509.21875,0.1,5
"302",2,0,0.1,0.2,0,0.109,9526.6875,0.1,6
"303",3,0,0.1,0.2,0,0.123,9522.84375,0.1,4
"304",4,0,0.1,0.2,0,0.0760000000000001,9535.265625,0.1,6
"305",5,0,0.1,0.2,0,-0.0610000000000001,9602.1875,0.1,3
"306",6,0,0.1,0.2,0,-0.014,9580.5625,0.1,5
"307",7,0,0.1,0.2,0,-0.483,9770.375,0.1,7
"308",8,0,0.1,0.2,0,0.195,9484.78125,0.1,6
"309",9,0,0.1,0.2,0,-0.21,9659.8125,0.1,6
"310",10,0,0.1,0.2,0,0.64,9306.75,0.1,4
"311",11,0,0.1,0.2,0,1.077,9149.46875,0.2,4
"312",12,0,0.1,0.2,0,-0.023,9582.8125,0.1,5
"313",13,0,0.1,0.2,0,0.038,9550.40625,0.1,6
"314",14,0,0.1,0.2,0,0.573,9329.8125,0.1,7
"315",15,0,0.1,0.2,0,-0.002,9566.59375,0,5
"316",16,0,0.1,0.2,0,-0.148,9635.15625,0.1,10
"317",17,0,0.1,0.2,1,-0.965,9985.375,0.1,1
"318",18,0,0.1,0.2,0,0.0309999999999999,9557.96875,0.1,4
"319",19,0,0.1,0.2,0,-0.019,9579.609375,0.1,8
"320",20,0,0.1,0.2,0,0.283,9461.625,0.1,4
"321",21,0,0.1,0.2,0,0.206,9485.546875,0.1,7
"322",22,0,0.1,0.2,0,-0.374,9727.015625,0.1,4
"323",23,0,0.1,0.2,0,-0.005,9573.53125,0.1,8
"324",24,0,0.1,0.2,0,1.326,9031.21484375,0.2,2
"325",25,0,0.1,0.2,0,1.279,9044.6875,0.1,5
"326",26,0,0.1,0.2,0,1.234,9070.173828125,0.1,5
"327",27,0,0.1,0.2,0,-0.497,9774.1875,0.1,4
"328",28,0,0.1,0.2,0,-0.136,9623.5,0.1,6
"329",29,0,0.1,0.2,0,0.188,9500.953125,0.1,6
"330",30,0,0.1,0.2,0,-0.094,9607.90625,0.1,10
"331",31,0,0.1,0.2,0,0.302,9460.578125,0.1,2
"332",32,0,0.1,0.2,0,0.693,9280.21875,0.1,5
"333",33,0,0.1,0.2,0,-0.999,9999.5,0.1,10
"334",34,0,0.1,0.2,1,-0.969,9986,0.1,3
"335",35,0,0.1,0.2,1,-0.974,9990.3125,0.1,6
"336",36,0,0.1,0.2,0,-0.453,9762.875,0.1,3
"337",37,0,0.1,0.2,0,-0.75,9892.25,0.1,3
"338",38,0,0.1,0.2,0,0.119,9530.359375,0.1,5
"339",39,0,0.1,0.2,0,-0.703,9871.5,0.1,1
"340",40,0,0.1,0.2,0,-0.392,9734.9375,0.1,4
"341",41,0,0.1,0.2,0,0.284,9450.640625,0.1,7
"342",42,0,0.1,0.2,0,-0.249,9668.8125,0.1,1
"343",43,0,0.1,0.2,0,-0.38,9729.28125,0.1,1
"344",44,0,0.1,0.2,0,1.394,9011.9375,0.1,2
"345",45,0,0.1,0.2,0,0.393,9407.75,0.1,5
"346",46,0,0.1,0.2,0,-0.176,9645.40625,0.1,3
"347",47,0,0.1,0.2,0,1.285,9042.4375,0.1,4
"348",48,0,0.1,0.2,0,-0.5,9783.78125,0.1,4
"349",49,0,0.1,0.2,0,1.058,9136.046875,0.1,1
"350",50,0,0.1,0.2,0,-0.098,9609.6875,0.1,5
"351",51,0,0.1,0.2,0,0.056,9545.9375,0.1,6
"352",52,0,0.1,0.2,0,-0.495,9784.46875,0.1,4
"353",53,0,0.1,0.2,0,-0.565,9809.875,0.1,2
"354",54,0,0.1,0.2,0,0.203,9490.34375,0.1,5
"355",55,0,0.1,0.2,0,0.184,9489.78125,0.1,6
"356",56,0,0.1,0.2,0,-0.085,9607.875,0.1,6
"357",57,0,0.1,0.2,0,-0.506,9785.1875,0.1,1
"358",58,0,0.1,0.2,0,-0.343,9718.9375,0.1,8
"359",59,0,0.1,0.2,0,-0.032,9580.5625,0.1,9
"360",60,0,0.1,0.2,0,-0.3,9693.4375,0.1,8
"361",61,0,0.1,0.2,0,-0.402,9739.59375,0.1,6
"362",62,0,0.1,0.2,0,0.396,9404.515625,0.1,7
"363",63,0,0.1,0.2,0,-0.244,9667.625,0.1,6
"364",64,0,0.1,0.2,0,-0.051,9589.6875,0.1,6
"365",65,0,0.1,0.2,1,-0.977,9989.25,0,4
"366",66,0,0.1,0.2,0,1.292,9048.03125,0.1,3
"367",67,0,0.1,0.2,0,0.249,9466.65625,0.1,4
"368",68,0,0.1,0.2,0,-0.641,9850,0.1,3
"369",69,0,0.1,0.2,0,0.0489999999999999,9545.65625,0.1,4
"370",70,0,0.1,0.2,0,0.585,9326.3203125,0.1,1
"371",71,0,0.1,0.2,0,-0.143,9632.1875,0.1,4
"372",72,0,0.1,0.2,0,-0.7,9872.5625,0.1,7
"373",73,0,0.1,0.2,0,0.564,9343.375,0.1,6
"374",74,0,0.1,0.2,0,0.403,9402.828125,0.1,5
"375",75,0,0.1,0.2,0,-0.0639999999999999,9600.96875,0.1,3
"376",76,0,0.1,0.2,0,0.038,9558.15625,0.1,6
"377",77,0,0.1,0.2,0,-0.039,9582.03125,0.1,3
"378",78,0,0.1,0.2,1,-0.316,9709.015625,0.1,7
"379",79,0,0.1,0.2,0,0.562,9343.515625,0.1,4
"380",80,0,0.1,0.2,0,0.194,9488.03125,0.1,2
"381",81,0,0.1,0.2,0,-0.00600000000000001,9575.125,0.1,5
"382",82,0,0.1,0.2,0,-0.14,9628.8125,0.1,5
"383",83,0,0.1,0.2,0,1.479,8973.21875,0.1,1
"384",84,0,0.1,0.2,0,-0.257,9677.5625,0.1,2
"385",85,0,0.1,0.2,0,-0.504,9785.75,0.1,2
"386",86,0,0.1,0.2,0,0.232,9469.09375,0.1,7
"387",87,0,0.1,0.2,0,0.285,9447.6875,0.1,5
"388",88,0,0.1,0.2,0,-0.087,9613.125,0,6
"389",89,0,0.1,0.2,0,0.189,9491.9375,0.1,5
"390",90,0,0.1,0.2,0,0.466,9374.40625,0.1,6
"391",91,0,0.1,0.2,0,-0.801,9914.3125,0.1,4
"392",92,0,0.1,0.2,0,0.201,9486.5,0.1,3
"393",93,0,0.1,0.2,0,-0.497,9781.1875,0.1,2
